CNTYVTD,VTDKEY,AbbottR_18G_Governor,ValdezD_18G_Governor,TippettsL_18G_Governor
"2010870",5088,0,0,0
"2010871",5089,4,15,0
"2010872",5090,116,118,2
"2010873",5091,105,261,5
"2010874",5092,1487,591,29
"2010875",5093,884,1034,25
"2010876",5094,770,367,18
"2010877",5095,346,609,19
"2010878",5096,646,218,8
"2010879",5097,587,790,26
"2010880",5098,1226,476,24
"2010881",5099,299,844,10
"2010882",5100,533,1172,21
"2010883",5101,206,1014,10
"2010884",5102,22,145,0
"2010885",5103,937,771,22
"2010886",5104,245,253,20
"2010887",5105,129,177,9
"2010888",5106,335,706,14
"2010889",5107,41,112,3
"2010890",5108,280,506,27
"2010891",5109,353,497,12
"2010892",5110,171,460,27
"2010893",5111,276,196,4
"2010894",5112,159,879,8
"2010895",5113,246,379,11
"2010896",5114,393,822,22
"2010897",5115,515,580,15
"2010898",5116,347,658,17
"2010899",5117,485,343,13
"2010900",5118,1,6,0
"2010901",5119,728,628,24
"2010902",5120,910,906,50
"2010903",5121,954,344,13
"2010904",5122,0,0,0
"2010905",5123,179,243,3
"2010906",5124,726,611,14
"2010907",5125,6,61,2
"2010908",5126,0,0,0
"2010909",5127,1009,356,17
"2010910",5128,23,48,0
"2010911",5129,181,114,7
"2010912",5130,487,300,10
"2010913",5131,28,109,0
"2010914",5132,8,25,1
"2010915",5133,958,381,19
"2010916",5134,1384,473,39
"2010917",5135,0,0,0
"2010918",5136,1,1,0
"2010919",5137,1015,973,35
"2010920",5138,123,40,3
"2010921",5139,119,37,2
"2010922",5140,0,0,0
"2010923",5141,1796,648,28
"2010924",5142,0,0,0
"2010925",5143,0,0,0
"2010926",5144,907,523,24
"2010927",5145,1191,1232,61
"2010928",5146,23,15,0
"2010929",5147,0,0,0
"2010930",5148,17,163,2
"2010931",5149,43,35,5
"2010932",5150,0,0,0
"2010933",5151,104,278,9
"2010934",5152,10,11,1
"2010935",5153,459,726,24
"2010936",5154,8,14,0
"2010937",5155,601,862,35
"2010938",5156,27,75,3
"2010939",5157,0,0,0
"2010940",5158,1,9,0
"2010941",5159,186,233,8
"2010942",5160,27,89,0
"2010943",5161,66,144,1
"2010944",5162,8,32,1
"2010945",5163,7,25,0
"2010946",5164,204,169,7
"2010947",5165,279,308,22
"2010948",5166,288,111,4
"2010949",5167,158,498,8
"2010950",5168,0,0,0
"2010951",5169,31,111,2
"2010952",5170,145,144,7
"2010953",5171,145,107,2
"2010954",5172,62,298,4
"2010955",5173,908,437,16
"2010956",5174,149,705,8
"2010957",5175,40,259,1
"2010958",5176,141,583,4
"2010959",5177,0,0,0
"2010960",5178,208,721,12
"2010961",5179,129,573,2
"2010962",5180,8,36,1
"2010963",5181,134,198,3
"2010964",5182,627,492,15
"2010965",5183,85,27,1
"2010966",5184,122,351,5
"2010967",5185,132,661,8
"2010968",5186,154,553,6
"2010969",5187,17,306,0
"2010970",5188,29,202,0
"2010971",5189,113,175,5
"2010972",5190,1371,462,25
"2010973",5191,390,265,22
"2010974",5192,219,516,10
"2010975",5193,61,62,0
"2010976",5194,130,149,2
"2010977",5195,149,304,8
"2010978",5196,66,35,1
"2010979",5197,0,0,0
"2010980",5198,665,269,11
"2010981",5199,13,11,0
"2010982",5200,1032,391,27
"2010983",5201,1164,956,29
"2010984",5202,10,83,1
"2010985",5203,103,114,2
"2010986",5204,40,173,2
"2010987",5205,59,465,4
"2010988",5206,993,310,13
"2010989",5207,0,0,0
"2010990",5208,6,5,0
"2010991",5209,455,331,11
"2010992",5210,232,302,3
"2010993",5211,0,0,0
"2010994",5212,206,925,14
"2010995",5213,119,808,5
"2010996",5214,230,172,2
"2010997",5215,92,482,9
"2010998",5216,0,3,0
"2010999",5217,0,0,0
"2011000",5218,27,119,0
"2011001",5219,166,512,3
"2011002",5220,65,301,4
"2011003",5221,17,62,1
"2011004",5222,200,238,12
"2011005",5223,0,0,0
"2011006",5224,94,580,10
"2011007",5225,210,701,12
"2011008",5226,525,136,9
"2011009",5227,38,78,1
"2011010",5228,93,377,3
"2011011",5229,5,11,0
"2011012",5230,217,538,7
"2011013",5231,0,0,0
"2011014",5232,0,0,0
"2011015",5233,0,0,0
"2011016",5234,1529,602,23
"2011017",5235,30,117,3
"2011018",5236,0,0,0
"2011019",5237,19,95,1
"2011020",5238,222,358,5
"2011021",5239,245,302,6
"2011022",5240,1031,464,26
"2011023",5241,142,202,3
"2011024",5242,154,52,4
"2011025",5243,223,217,6
"2011026",5244,256,400,10
"2011027",5245,210,85,5
"2011028",5246,829,928,23
"2011029",5247,879,491,31
"2011030",5248,41,90,1
"2011031",5249,718,259,15
"2011032",5250,65,71,4
"2011033",5251,146,162,8
"2011034",5252,337,398,17
"2011035",5253,20,19,0
"2011036",5254,12,12,0
"2011037",5255,342,732,9
"2011038",5256,692,452,19
"2011039",5257,0,0,0
"2011040",5258,178,420,9
"2011041",5259,172,326,7
"2011042",5260,311,560,14
"2011043",5261,750,402,19
"2011044",5262,43,56,1
"2011045",5263,134,188,4
"2011046",5264,327,338,11
"2011047",5265,380,255,13
"2011048",5266,218,123,6
"2011049",5267,72,158,4
"2011050",5268,35,456,7
"2011051",5269,0,0,0
"2011052",5270,0,0,0
"2011053",5271,204,359,9
"2011054",5272,934,597,37
"2011055",5273,498,365,14
"2011056",5274,478,357,12
"2011057",5275,3,1,0
"2011058",5276,70,76,2
"2011059",5277,437,418,12
"2011060",5278,185,845,13
"2011061",5279,141,662,8
"2011062",5280,911,386,14
"2011063",5281,382,700,7
"2011064",5282,727,729,21
"2011065",5283,1152,408,22
"2011066",5284,0,4,0
"2011067",5285,269,594,11
"2011068",5286,405,893,12
"2011069",5287,0,0,0
"2011070",5288,25,55,0
"2011071",5289,521,787,18
"2011072",5290,318,411,14
"2011073",5291,0,0,0
"2011074",5292,158,281,5
"2011075",5293,0,0,0
"2011076",5294,447,931,19
"2011077",5295,464,876,17
"2011078",5296,566,494,14
"2011079",5297,263,763,8
"2011080",5298,298,266,9
"2011081",5299,17,78,1
"2011082",5300,0,0,0
"2011083",5301,0,0,0
"2011084",5302,177,104,7
"2011085",5303,1170,134,9
"2011086",5304,1718,532,34
"2011087",5305,458,750,22
"2011088",5306,178,170,4
"2011089",5307,0,2,0
"2011090",5308,78,93,1
"2011091",5309,701,647,15
"2011092",5310,240,256,3
"2011093",5311,971,249,17
"2011094",5312,0,0,0
"2011095",5313,928,430,23
"2011096",5314,1018,380,17
"2011097",5315,216,355,7
"2011098",5316,128,709,8
"2011099",5317,1,0,0
"2011100",5318,138,174,1
"2011101",5319,591,333,10
"2011102",5320,1020,548,26
"2011103",5321,305,450,7
"2011104",5322,655,374,15
"2011105",5323,14,49,0
"2011106",5324,78,263,0
"2011107",5325,32,41,0
"2011108",5326,51,42,0
"2011109",5327,23,15,0
"2011110",5328,623,398,7
"2011111",5329,650,466,18
"2011112",5330,653,465,10
"2011113",5331,444,750,20
"2011114",5332,169,783,13
"2011115",5333,170,134,2
"2011116",5334,269,310,6
"2011117",5335,951,728,14
"2011118",5336,369,851,19
"2011119",5337,0,2,0
"2011120",5338,369,393,10
"2011121",5339,10,75,1
"2011122",5340,56,358,10
"2011123",5341,376,384,10
"2011124",5342,0,0,0
"2011125",5343,0,0,0
"2011126",5344,185,646,10
"2011127",5345,115,411,6
"2011128",5346,1139,521,17
"2011129",5347,0,0,0
"2011130",5348,126,198,4
"2011131",5349,157,57,3
"2011132",5350,0,0,0
"2011133",5351,14,20,0
"2011134",5352,922,437,20
"2011135",5353,453,813,21
"2011136",5354,331,940,15
"2011137",5355,246,713,10
"2011138",5356,217,507,8
"2011139",5357,215,1104,11
"2011140",5358,33,67,2
"2011141",5359,0,0,0
"2011142",5360,215,28,4
"2011143",5361,0,0,0
"2011144",5362,697,266,18
"2011145",5363,1117,527,20
"2011146",5364,868,418,18
"2011147",5365,7,26,1
"2011148",5366,106,357,3
"2011149",5367,846,657,17
"2011150",5368,0,0,0
"2011151",5369,1065,399,27
"2011152",5370,117,22,1
"2011153",5371,0,0,0
"2011154",5372,0,0,0
"2011155",5373,0,1,0
"2011156",5374,0,0,0
"2011157",5375,0,0,0
"2011158",5376,0,0,0
"2011159",5377,0,0,0
"2011160",5378,0,0,0
"2011161",5379,0,0,0
"2011162",5380,0,0,0
"2011163",5381,0,0,0
"2011164",5382,0,0,0
"2011165",5383,0,0,0
"2030001",5384,871,339,16
"2030002",5385,296,489,10
"2030003",5386,84,728,7
"2030004",5387,379,214,7
"2030005",5388,430,102,3
"2030006",5389,626,132,15
"2030007",5390,413,148,6
"2030008",5391,1172,353,27
"2030009",5392,587,194,6
"2030010",5393,498,111,3
"2030011",5394,183,92,3
"2030012",5395,1219,169,15
"2030013",5396,1206,134,19
"2030014",5397,626,146,8
"2030015",5398,585,53,3
"2030016",5399,287,47,5
"2030017",5400,428,373,11
"2030018",5401,819,210,10
"2030019",5402,1310,251,16
"2030020",5403,1008,252,12
"2030021",5404,284,118,4
"2030022",5405,369,440,8
"2030023",5406,306,12,2
"2030024",5407,374,121,6
"2030025",5408,1306,181,23
"2030026",5409,1081,153,12
"2050101",5410,152,19,0
"2050102",5411,190,10,1
"2050201",5412,135,11,2
"2050202",5413,394,29,2
"2050301",5414,420,36,1
"2050401",5415,183,19,1
"2070001",5416,189,36,1
"2070002",5417,257,48,2
"2070003",5418,230,55,3
"2070004",5419,105,29,2
"2070005",5420,154,34,1
"2070006",5421,150,16,0
"2070007",5422,48,4,0
"2070008",5423,58,18,1
"2070009",5424,111,18,3
"2070010",5425,83,9,1
"2090100",5426,0,0,0
"2090101",5427,0,0,0
"2090102",5428,0,0,0
"2090103",5429,0,0,0
"2090110",5430,483,565,18
"2090112",5431,297,821,39
"2090113",5432,305,921,28
"2090114",5433,273,676,20
"2090115",5434,246,602,20
"2090120",5435,84,295,7
"2090121",5436,290,976,30
"2090122",5437,73,258,7
"2090125",5438,175,267,13
"2090128",5439,100,117,3
"2090132",5440,116,291,16
"2090134",5441,252,342,12
"2090136",5442,267,528,18
"2090140",5443,282,1108,43
"2090141",5444,138,304,18
"2090142",5445,415,1456,44
"2090145",5446,102,371,12
"2090200",5447,0,0,0
"2090203",5448,629,1018,51
"2090204",5449,28,32,2
"2090205",5450,602,703,30
"2090206",5451,600,702,35
"2090216",5452,44,40,2
"2090217",5453,2,4,0
"2090218",5454,3,2,0
"2090219",5455,148,136,6
"2090220",5456,1050,1042,75
"2090221",5457,289,290,23
"2090223",5458,549,667,29
"2090225",5459,47,25,2
"2090227",5460,649,966,38
"2090228",5461,127,190,7
"2090231",5462,522,782,30
"2090252",5463,378,568,31
"2090253",5464,366,597,26
"2090254",5465,130,191,7
"2090314",5466,635,404,24
"2090315",5467,689,445,23
"2090316",5468,485,615,36
"2090317",5469,69,180,9
"2090319",5470,443,392,21
"2090320",5471,830,524,32
"2090325",5472,261,138,7
"2090330",5473,40,109,2
"2090331",5474,119,292,13
"2090332",5475,541,1205,64
"2090333",5476,1009,648,37
"2090335",5477,1402,849,62
"2090336",5478,538,861,59
"2090337",5479,1191,699,43
"2090338",5480,1072,634,37
"2090339",5481,560,238,11
"2090340",5482,443,710,48
"2090342a",5483,322,220,13
"2090342b",5484,14,10,0
"2090344",5485,1277,683,75
"2090347",5486,676,645,41
"2090351",5487,168,598,19
"2090371",5488,505,468,21
"2090372",5489,15,22,5
"2090400",5490,0,0,0
"2090422",5491,788,648,40
"2090423a",5492,399,573,22
"2090423b",5493,0,0,0
"2090423c",5494,0,0,0
"2090424",5495,672,548,34
"2090425",5496,366,195,11
"2090426",5497,1059,787,50
"2090430",5498,493,369,24
"2090432",5499,869,425,30
"2090435",5500,915,739,50
"2090436",5501,529,254,15
"2090438",5502,80,70,6
"2090440",5503,182,97,6
"2090441",5504,886,476,62
"2090442",5505,931,881,57
"2090443",5506,915,604,46
"2090444",5507,960,584,43
"2090445",5508,759,460,36
"2090446",5509,598,393,28
"2090448",5510,859,523,39
"2090449",5511,679,361,23
"2090450a",5512,414,222,14
"2090450b",5513,180,94,4
"2090451",5514,754,498,39
"2110101",5515,227,41,3
"2110201",5516,215,35,2
"2110202",5517,19,0,0
"2110301",5518,337,34,7
"2110302",5519,30,1,0
"2110303",5520,70,8,0
"2110401",5521,229,23,1
"2110402",5522,72,10,1
"2130001",5523,379,62,7
"2130002",5524,137,26,3
"2130003",5525,192,349,7
"2130004",5526,759,182,12
"213001a",5527,707,124,12
"213001m",5528,840,245,12
"213001t",5529,826,181,13
"213002e",5530,960,151,17
"213002m",5531,317,68,5
"213003b",5532,1275,163,14
"213003c",5533,1061,176,13
"213003m",5534,620,101,6
"213003n",5535,539,85,4
"213004a",5536,223,124,6
"213004b",5537,829,201,17
"213004w",5538,450,72,4
"21301cr",5539,909,130,14
"21301mn",5540,567,134,11
"21301tc",5541,1020,217,15
"21303cs",5542,891,145,10
"21303nw",5543,323,50,3
"21303ws",5544,533,87,11
"21304lp",5545,1099,271,9
"21304ms",5546,374,178,10
"21304se",5547,1461,272,23
"2132gbn",5548,932,198,9
"2132gbs",5549,876,170,11
"2132psn",5550,830,183,12
"2132pss",5551,1093,186,8
"2134nlp",5552,753,91,8
"2150001",5553,64,167,5
"2150002",5554,313,425,16
"2150003",5555,115,295,4
"2150004",5556,347,749,13
"2150005",5557,178,588,8
"2150006",5558,424,430,7
"2150007",5559,623,776,21
"2150008",5560,429,355,11
"2150009",5561,619,768,18
"2150010",5562,297,573,6
"2150011",5563,157,634,6
"2150012",5564,60,74,0
"2150013",5565,737,986,30
"2150014",5566,215,383,11
"2150015",5567,102,127,2
"2150016",5568,216,1074,7
"2150017",5569,219,681,5
"2150018",5570,39,55,2
"2150019",5571,58,48,0
"2150020",5572,384,1209,23
"2150021",5573,53,100,2
"2150022",5574,82,175,4
"2150023",5575,259,545,11
"2150024",5576,49,15,0
"2150025",5577,458,600,12
"2150026",5578,75,241,2
"2150027",5579,82,237,4
"2150028",5580,310,553,16
"2150029",5581,164,180,3
"2150030",5582,562,1018,24
"2150031",5583,267,382,11
"2150032",5584,377,614,6
"2150033",5585,211,534,9
"2150034",5586,154,250,6
"2150035",5587,391,863,12
"2150036",5588,434,922,15
"2150037",5589,135,247,7
"2150038",5590,696,753,22
"2150039",5591,170,495,8
"2150040",5592,154,560,6
"2150041",5593,252,734,12
"2150042",5594,459,771,20
"2150043",5595,195,409,4
"2150044",5596,123,418,7
"2150045",5597,299,403,6
"2150046",5598,42,67,2
"2150047",5599,167,376,3
"2150048",5600,278,784,14
"2150049",5601,333,635,10
"2150050",5602,254,635,6
"2150051",5603,147,890,11
"2150052",5604,786,914,14
"2150053",5605,418,708,11
"2150054",5606,392,359,5
"2150055",5607,294,675,12
"2150056",5608,359,740,6
"2150057",5609,92,197,0
"2150058",5610,441,738,9
"2150059",5611,199,499,7
"2150060",5612,388,655,8
"2150061",5613,194,539,7
"2150062",5614,760,602,17
"2150063",5615,80,148,3
"2150064",5616,152,527,9
"2150065",5617,384,569,20
"2150066",5618,181,323,8
"2150067",5619,454,636,13
"2150068",5620,451,747,14
"2150069",5621,408,707,11
"2150070",5622,166,381,2
"2150071",5623,19,44,0
"2150072",5624,230,358,5
"2150073",5625,855,626,21
"2150074",5626,155,192,2
"2150075",5627,18,15,1
"2150076",5628,12,2,0
"2150077",5629,213,465,4
"2150078",5630,216,580,7
"2150079",5631,102,333,5
"2150080",5632,76,316,2
"2150081",5633,402,559,12
"2150082",5634,0,3,0
"2150083",5635,1013,830,11
"2150084",5636,404,596,12
"2150085",5637,425,834,10
"2150086",5638,137,149,0
"2150087",5639,99,233,3
"2150088",5640,218,522,7
"2150089",5641,2,3,0
"2150090",5642,374,1534,7
"2150091",5643,128,203,6
"2150092",5644,30,55,1
"2150093",5645,47,37,1
"2150094",5646,221,459,7
"2150095",5647,281,894,6
"2150096",5648,714,691,23
"2150097",5649,342,665,13
"2150098",5650,505,906,16
"2150099",5651,246,654,9
"2150100",5652,331,837,9
"2150101",5653,224,134,4
"2150102",5654,308,222,11
"2150103",5655,731,683,19
"2150104",5656,311,577,7
"2150105",5657,533,846,10
"2150106",5658,588,702,21
"2150107",5659,393,686,17
"2150108",5660,246,687,9
"2150109",5661,377,845,20
"2150110",5662,129,244,1
"2150111",5663,480,602,11
"2150112",5664,163,428,14
"2150113",5665,666,900,17
"2150114",5666,950,825,20
"2150115",5667,328,680,10
"2150116",5668,254,417,7
"2150117",5669,214,627,8
"2150118",5670,302,451,4
"2150119",5671,129,299,1
"2150120",5672,265,605,5
"2150121",5673,26,45,0
"2150122",5674,252,852,18
"2150123",5675,159,255,3
"2150124",5676,333,366,10
"2150125",5677,110,225,4
"2150126",5678,258,416,2
"2150127",5679,98,286,4
"2150128",5680,219,566,8
"2150129",5681,48,38,0
"2150130",5682,201,213,4
"2150131",5683,0,10,0
"2150132",5684,89,247,7
"2150133",5685,11,21,0
"2150134",5686,726,605,17
"2150135",5687,342,413,12
"2150136",5688,356,446,7
"2150137",5689,9,9,0
"2150138",5690,34,107,3
"2150139",5691,56,107,2
"2150140",5692,1,5,0
"2150141",5693,14,28,0
"2150142",5694,213,461,1
"2150143",5695,491,810,22
"2150144",5696,7,5,0
"2150145",5697,81,278,4
"2150146",5698,100,440,4
"2150147",5699,21,25,0
"2150148",5700,9,14,0
"2150149",5701,4,30,0
"2150150",5702,163,261,2
"2150151",5703,722,845,20
"2150152",5704,512,611,14
"2150153",5705,22,86,1
"2150154",5706,306,600,4
"2150155",5707,103,140,3
"2150156",5708,190,486,8
"2150157",5709,161,303,3
"2150158",5710,440,720,12
"2150159",5711,32,108,3
"2150160",5712,83,81,2
"2150161",5713,297,528,6
"2150162",5714,191,153,5
"2150163",5715,250,529,10
"2150164",5716,431,429,8
"2150165",5717,174,180,3
"2150166",5718,98,115,1
"2150167",5719,165,132,4
"2150168",5720,43,90,3
"2150169",5721,69,120,2
"2150170",5722,60,205,1
"2150171",5723,2,9,0
"2150172",5724,9,7,0
"2150173",5725,239,287,8
"2150174",5726,82,254,3
"2150175",5727,186,320,4
"2150176",5728,139,282,7
"2150177",5729,71,147,2
"2150178",5730,9,7,0
"2150179",5731,38,86,0
"2150180",5732,21,39,2
"2150181",5733,347,146,5
"2150182",5734,53,180,1
"2150183",5735,242,566,6
"2150184",5736,13,2,1
"2150185",5737,0,0,0
"2150186",5738,16,61,4
"2150187",5739,328,609,7
"2150188",5740,438,439,6
"2150189",5741,48,130,1
"2150190",5742,81,92,2
"2150191",5743,71,105,2
"2150192",5744,46,92,2
"2150193",5745,56,94,2
"2150194",5746,400,527,13
"2150195",5747,232,166,1
"2150196",5748,206,193,6
"2150197",5749,37,179,3
"2150198",5750,105,299,2
"2150199",5751,576,633,19
"2150200",5752,535,651,13
"2150201",5753,311,287,6
"2150202",5754,261,176,2
"2150203",5755,639,887,21
"2150204",5756,101,130,7
"2150205",5757,20,53,0
"2150206",5758,179,318,5
"2150207",5759,569,636,18
"2150208",5760,9,21,0
"2150209",5761,89,234,4
"2150210",5762,34,96,2
"2150211",5763,64,46,2
"2150212",5764,198,328,8
"2150213",5765,21,54,1
"2150214",5766,245,530,10
"2150215",5767,166,239,6
"2150216",5768,195,410,8
"2150217",5769,16,46,0
"2150218",5770,89,184,3
"2150219",5771,117,252,6
"2150220",5772,96,144,3
"2150221",5773,220,320,6
"2150222",5774,5,2,0
"2150223",5775,108,87,4
"2150224",5776,87,41,2
"2150225",5777,31,79,3
"2150226",5778,280,846,18
"2150227",5779,200,759,18
"2150228",5780,113,352,5
"2150229",5781,101,233,5
"2150230",5782,126,140,3
"2150231",5783,59,74,1
"2150232",5784,126,289,9
"2150233",5785,0,1,0
"2150234",5786,281,803,10
"2150235",5787,73,70,1
"2150236",5788,112,82,3
"2150237",5789,61,220,3
"2150238",5790,24,21,1
"2150239",5791,392,480,4
"2150240",5792,126,194,6
"2150241",5793,26,68,3
"2150242",5794,6,6,0
"2150243",5795,20,16,0
"2150244",5796,125,159,0
"2150245",5797,23,64,3
"2150246",5798,2,0,0
"2150247",5799,27,38,1
"2150248",5800,5,9,0
"2150249",5801,60,80,0
"2150250",5802,5,36,0
"2150251",5803,3,3,0
"2150252",5804,5,3,0
"2150253",5805,57,111,1
"2150254",5806,189,512,7
"2150255",5807,41,56,2
"2150256",5808,107,65,2
"2150257",5809,41,175,4
"2150258",5810,3,5,0
"2150259",5811,93,196,2
"2170001",5812,732,205,12
"2170002",5813,956,149,8
"2170003",5814,220,211,6
"2170004",5815,1022,172,10
"2170005",5816,641,75,6
"2170006",5817,592,184,7
"2170007",5818,418,95,9
"2170008",5819,1115,195,19
"2170009",5820,526,117,5
"2170010",5821,870,224,16
"2170011",5822,340,57,3
"2170012",5823,718,200,6
"2170013",5824,1112,168,9
"2190011",5825,182,21,1
"2190014",5826,352,49,6
"2190015",5827,197,17,4
"2190016",5828,960,145,11
"2190021",5829,686,165,20
"2190024",5830,353,58,6
"2190032",5831,674,174,12
"2190033",5832,53,3,0
"2190035",5833,57,22,5
"2190036",5834,80,54,2
"2190043",5835,169,16,4
"2190044",5836,303,91,8
"2190045",5837,625,161,9
"2190046",5838,258,52,7
"2210101",5839,983,193,16
"2210103",5840,1406,264,22
"2210105",5841,1285,219,14
"2210107",5842,578,93,7
"2210112",5843,802,149,8
"2210202",5844,1698,328,28
"2210211",5845,871,146,13
"2210216",5846,1710,276,31
"2210218",5847,1367,221,25
"2210310",5848,1213,222,20
"2210313",5849,1356,262,20
"2210314",5850,1803,353,20
"2210317",5851,1051,183,15
"2210404",5852,1039,193,13
"2210408",5853,1359,255,17
"2210409",5854,2115,367,37
"2210415",5855,229,41,4
"2230001",5856,950,244,12
"2230002",5857,775,240,15
"2230003",5858,665,233,14
"2230004",5859,627,97,7
"2230005",5860,240,28,3
"2230008",5861,132,25,0
"2230011",5862,343,80,5
"2230012",5863,161,16,1
"2230013",5864,377,79,4
"2230014",5865,469,74,2
"2230016",5866,549,65,9
"2230017",5867,542,115,7
"223001a",5868,524,127,8
"2230020",5869,297,38,1
"2230023",5870,134,19,1
"2230024",5871,364,43,4
"2230025",5872,175,24,6
"223002a",5873,325,266,3
"2230036",5874,446,44,6
"223003a",5875,685,163,9
"223004a",5876,753,198,12
"2250001",5877,402,186,5
"2250002",5878,579,206,5
"2250003",5879,258,392,5
"2250004",5880,725,222,5
"2250005",5881,551,86,3
"2250006",5882,443,139,3
"2250007",5883,490,54,7
"2250008",5884,203,35,1
"2250009",5885,252,14,2
"2250010",5886,152,28,2
"2250011",5887,72,14,2
"2250012",5888,75,13,0
"2250014",5889,237,24,4
"2250015",5890,129,30,1
"2250016",5891,158,8,0
"2250017",5892,173,11,0
"2250018",5893,64,29,1
"2250019",5894,278,71,0
"2250020",5895,132,9,1
"2250021",5896,154,41,2
"2250022",5897,132,29,1
"2270011",5898,243,193,8
"2270012",5899,138,93,2
"2270013",5900,79,64,4
"2270014",5901,33,28,0
"2270016",5902,48,27,2
"2270024",5903,191,34,5
"2270025",5904,531,95,9
"2270026",5905,175,26,0
"2270031",5906,26,8,0
"2270032",5907,43,11,0
"2270033",5908,542,170,14
"2270034",5909,464,131,8
"2270035",5910,131,39,3
"2270037",5911,0,0,0
"2270041",5912,3,1,0
"2270042",5913,195,51,0
"2270045",5914,253,75,6
"2270046",5915,388,98,4
"2270103",5916,38,28,0
"2270104",5917,16,10,0
"2270105",5918,0,0,0
"227012a",5919,23,15,0
"2270205",5920,572,102,11
"2270207",5921,460,53,5
"2270208",5922,0,0,0
"2270209",5923,0,0,0
"2270304",5924,191,52,2
"227031a",5925,0,0,0
"227034a",5926,7,3,0
"2270404",5927,197,61,5
"2270405",5928,83,18,2
"2270408",5929,24,0,0
"2270409",5930,261,18,1
"227207c",5931,302,33,1
"227208c",5932,80,5,0
"2290001",5933,170,83,4
"2290002",5934,70,71,3
"2290004",5935,91,43,2
"229001w",5936,36,32,1
"229003n",5937,53,24,3
"229003s",5938,89,65,0
"229004s",5939,8,4,0
"22904nw",5940,18,10,0
"2310101",5941,510,59,8
"2310102",5942,205,37,3
"2310103",5943,366,47,4
"2310104",5944,481,79,4
"2310105",5945,242,120,4
"2310106",5946,566,271,14
"2310107",5947,1140,379,30
"2310108",5948,494,247,12
"2310109",5949,579,113,5
"2310110",5950,295,81,9
"2310111",5951,270,96,3
"2310212",5952,238,54,2
"2310213",5953,476,50,6
"2310216",5954,886,149,10
"2310217",5955,763,131,21
"2310318",5956,354,39,9
"2310319",5957,829,103,9
"2310320",5958,874,170,8
"2310321",5959,564,103,11
"2310322",5960,372,79,7
"2310323",5961,1318,197,20
"2310324",5962,1270,310,24
"2310325",5963,1326,270,16
"2310426",5964,210,55,6
"2310427",5965,690,622,27
"2310428",5966,644,410,21
"2310429",5967,201,58,3
"2310430",5968,207,69,10
"2310431",5969,198,71,2
"2310432",5970,736,95,6
"2310433",5971,253,572,19
"2310434",5972,655,89,7
"231214a",5973,994,165,14
"231214b",5974,483,83,6
"231215a",5975,1714,342,20
"231215b",5976,675,131,9
"2330011",5977,877,81,16
"2330014",5978,868,114,13
"2330021",5979,1678,130,18
"2330023",5980,289,34,5
"2330031",5981,773,71,7
"2330033",5982,625,68,9
"2330041",5983,39,3,1
"2330042",5984,725,186,10
"2350100",5985,160,22,2
"2350200",5986,161,24,5
"2350300",5987,121,17,0
"2350400",5988,199,24,2
"2370001",5989,517,55,5
"2370002",5990,532,53,7
"2370003",5991,91,8,3
"2370004",5992,435,40,2
"2370005",5993,382,23,7
"2370006",5994,582,67,2
"2390001",5995,856,247,4
"2390002",5996,971,137,5
"2390003",5997,883,132,4
"2390004",5998,164,21,2
"2390005",5999,290,33,1
"2390006",6000,231,66,4
"2390007",6001,60,12,0
"2390008",6002,249,34,4
"2390009",6003,312,33,3
"2410001",6004,25,8,0
"2410002",6005,386,29,0
"2410003",6006,483,81,6
"2410004",6007,372,51,0
"2410005",6008,82,12,2
"2410006",6009,421,168,2
"2410007",6010,206,136,5
"2410008",6011,268,188,0
"2410009",6012,941,88,5
"2410010",6013,818,73,7
"2410011",6014,250,24,1
"2410012",6015,273,36,4
"2410013",6016,230,53,0
"2410014",6017,1033,179,8
"2410015",6018,1237,115,12
"2410016",6019,131,4,0
"2410017",6020,698,39,7
"2410019",6021,1034,192,9
"2410020",6022,302,268,9
"2410021",6023,542,246,9
"2430001",6024,171,114,17
"2430002",6025,157,103,8
"2430003",6026,204,101,6
"2430004",6027,82,32,3
"2430005",6028,105,57,5
"2450001",6029,88,694,6
"2450002",6030,110,367,8
"2450003",6031,78,780,4
"2450004",6032,640,300,19
"2450005",6033,424,405,7
"2450006",6034,206,412,9
"2450007",6035,330,394,10
"2450008",6036,21,288,1
"2450009",6037,2002,339,23
"2450010",6038,51,198,5
"2450011",6039,39,138,4
"2450012",6040,16,217,0
"2450013",6041,5,172,0
"2450014",6042,44,558,6
"2450015",6043,51,473,6
"2450016",6044,21,144,0
"2450017",6045,639,731,7
"2450018",6046,37,790,5
"2450019",6047,54,573,2
"2450020",6048,58,416,5
"2450021",6049,80,55,0
"2450022",6050,516,739,11
"2450023",6051,342,906,5
"2450024",6052,227,68,4
"2450025",6053,943,233,12
"2450026",6054,930,550,17
"2450027",6055,362,370,9
"2450028",6056,165,295,1
"2450029",6057,883,92,11
"2450030",6058,610,63,5
"2450031",6059,655,74,8
"2450032",6060,124,42,1
"2450033",6061,784,313,12
"2450034",6062,62,803,9
"2450035",6063,415,70,2
"2450036",6064,665,149,13
"2450037",6065,1097,264,12
"2450038",6066,1101,166,13
"2450039",6067,46,910,9
"2450040",6068,1337,247,20
"2450041",6069,68,18,2
"2450042",6070,1148,222,17
"2450043",6071,987,221,14
"2450044",6072,165,187,3
"2450045",6073,151,323,3
"2450046",6074,151,321,4
"2450047",6075,174,410,3
