CNTYVTD,VTDKEY,BidenD_20G_President,TrumpR_20G_President,JorgensenL_20G_President,HawkinsG_20G_President,Write-InW_20G_President
"0070002",70,664,1637,21,5,0
"0070003",71,843,2406,30,11,0
"0070004",72,687,2307,28,4,1
"007001a",73,215,888,3,2,0
"007004a",74,188,684,9,4,0
"0090001",75,89,905,7,2,0
"0090002",76,59,570,6,0,0
"0090003",77,26,257,2,0,0
"0090004",78,28,500,1,1,1
"0090005",79,14,129,3,0,0
"0090006",80,79,753,10,1,0
"0090007",81,11,141,1,0,0
"0090008",82,33,228,5,0,0
"0090009",83,10,113,1,0,0
"0090010",84,79,533,8,0,0
"0090011",85,2,16,0,0,0
"0090012",86,6,51,0,0,0
"0090013",87,10,104,1,0,0
"0110101",88,14,272,0,0,0
"0110201",89,15,152,1,0,0
"0110202",90,10,61,0,0,0
"0110301",91,14,240,0,0,0
"0110303",92,6,37,0,0,0
"0110401",93,6,115,0,0,0
"0110402",94,10,135,1,0,0
"0110404",95,0,23,0,0,0
"0130001",96,140,451,3,1,0
"0130003",97,279,567,9,3,1
"0130004",98,208,290,4,3,0
"0130005",99,364,486,2,1,0
"0130006",100,89,117,2,2,0
"0130007",101,343,670,9,3,0
"0130008",102,122,259,4,2,1
"0130009",103,531,782,11,5,0
"0130010",104,122,212,3,0,0
"0130011",105,457,754,13,8,0
"0130012",106,274,504,7,2,1
"0130013",107,440,1229,6,5,4
"0130014",108,39,107,2,1,0
"0130015",109,606,949,12,7,3
"0130017",110,614,561,12,3,1
"0130018",111,334,746,4,2,2
"0130019",112,75,251,1,0,1
"0130020",113,622,2106,29,6,2
"0130021",114,115,582,8,3,0
"0130022",115,102,416,2,1,0
"0150101",116,187,751,8,1,0
"0150102",117,217,808,7,4,0
"0150103",118,161,974,16,2,0
"0150104",119,97,512,4,1,0
"0150205",120,379,1638,21,1,0
"0150206",121,162,904,6,3,0
"0150207",122,87,477,0,1,0
"0150208",123,103,401,1,0,0
"0150309",124,40,451,4,1,0
"0150310",125,436,1507,22,10,0
"0150311",126,307,356,9,4,0
"0150412",127,136,310,3,0,0
"0150413",128,166,903,11,3,0
"0150414",129,216,699,6,1,0
"0150415",130,257,756,5,1,0
"0170001",131,114,440,6,0,0
"0170002",132,101,607,3,0,0
"0170003",133,104,255,4,1,1
"0170004a",134,80,111,1,1,0
"0170004b",135,10,21,0,0,0
"0190101",136,260,1009,9,3,0
"0190102",137,397,1684,24,6,0
"0190203",138,407,1321,17,0,0
"0190204",139,324,968,10,3,0
"0190305",140,366,1651,17,10,1
"0190306",141,142,971,13,1,0
"0190407",142,328,1506,21,3,2
"0190408",143,67,165,3,2,0
"0190409",144,133,441,3,2,0
"0190410",145,81,341,3,0,0
"0211001",146,108,175,4,1,1
"0211002",147,179,296,7,0,0
"0211003",148,672,1099,32,4,4
"0211004",149,722,645,16,2,1
"0211005",150,369,507,16,2,2
"0211006",151,721,823,24,8,5
"0211007",152,566,705,14,5,4
"0211008",153,413,508,10,4,3
"0211009",154,702,809,26,6,8
"0212010",155,204,346,10,3,1
"0212011",156,504,728,24,3,7
"0212012",157,335,638,11,5,4
"0212013",158,841,1352,32,5,8
"0212014",159,703,1472,29,10,3
"0212015",160,850,1207,17,7,2
"0212016",161,525,1463,20,7,1
"0213017",162,692,1195,32,7,8
"0213018",163,346,801,24,4,5
"0213019",164,843,804,20,6,1
"0213020",165,1034,701,20,6,6
"0214021",166,883,1042,34,12,8
"0214022",167,761,758,29,7,9
"0214023",168,306,563,12,2,6
"0214024",169,532,652,20,3,5
"0214025",170,828,647,19,3,3
"0214026",171,835,580,29,6,8
"0230001",172,40,428,5,1,1
"0230002",173,42,382,6,0,0
"0230003",174,48,335,7,0,0
"0230004",175,53,349,4,0,1
"0250001",176,449,837,14,3,0
"0250002",177,55,306,3,0,0
"0250003",178,335,638,14,6,2
"0250004",179,108,292,1,1,0
"0250005",180,137,448,3,1,0
"0250006",181,208,524,4,0,0
"0250009",182,255,192,5,1,1
"0250010",183,385,333,7,5,0
"0250013",184,346,646,8,3,2
"0250016",185,226,453,11,1,0
"0250017",186,302,378,10,3,1
"0250018",187,297,837,10,0,0
"0250019",188,184,122,3,3,0
"0270101",189,986,2470,47,10,17
"0270102",190,851,2105,45,8,12
"0270103",191,905,1811,34,11,9
"0270104",192,706,1914,37,5,10
"0270105",193,187,993,8,6,1
"0270106",194,1447,740,40,17,10
"0270107",195,92,254,0,1,0
"0270108",196,192,1043,9,3,3
"0270109",197,845,548,27,5,4
"0270110",198,436,470,34,3,4
"0270111",199,828,1258,21,9,6
"0270113",200,754,1735,32,8,9
"0270114",201,843,1252,30,5,3
"0270115",202,873,2365,52,6,13
"0270116",203,552,282,19,8,5
"0270117",204,0,0,0,0,0
"0270201",205,851,794,24,9,5
"0270202",206,1292,1559,53,9,10
"0270203",207,594,2208,37,6,6
"0270204",208,603,396,12,3,5
"0270205",209,1707,882,24,15,8
"0270206",210,955,524,23,7,2
"0270207",211,1299,701,47,12,2
"0270208",212,1815,984,48,5,4
"0270209",213,1565,1270,58,14,15
"0270210",214,1516,978,32,6,3
"0270211",215,305,208,6,0,1
"0270212",216,429,345,18,4,4
"0270213",217,697,2581,37,9,8
"0270214",218,1690,1163,52,12,6
"0270215",219,1757,1155,57,14,11
"0270216",220,989,1131,37,6,7
"0270301",221,446,2238,44,4,4
"0270302",222,1232,1734,47,11,7
"0270303",223,1341,1503,45,14,5
"0270304",224,57,171,3,0,0
"0270305",225,509,1000,18,5,11
"0270306",226,1011,776,22,9,1
"0270307",227,1062,458,21,4,1
"0270308",228,1130,1520,58,10,9
"0270309",229,165,785,8,1,3
"0270310",230,43,361,4,0,0
"0270311",231,409,1817,24,0,1
"0270312",232,245,1223,13,0,2
"0270313",233,1080,2029,38,9,14
"0270314",234,837,964,19,9,2
"0270315",235,866,1571,58,2,8
"0270317",236,1214,2145,47,10,10
"0270318",237,1112,1998,75,6,11
"0270401",238,779,935,37,7,5
"0270402",239,1508,1293,42,9,8
"0270404",240,1488,765,45,12,8
"0270405",241,1715,717,55,9,8
"0270406",242,883,639,19,10,3
"0270408",243,1587,852,44,8,4
"0270409",244,732,628,20,5,1
"0270410",245,741,421,22,6,1
"0270412",246,1362,526,24,9,8
"0270413",247,1613,778,39,5,6
"0270414",248,1672,658,46,13,11
"0270415",249,1340,721,32,13,6
"0270419",250,274,548,11,4,2
"0291001",251,420,108,9,2,0
"0291002",252,307,160,7,3,0
"0291003",253,1108,269,11,0,5
"0291004",254,370,110,3,1,0
"0291005",255,344,100,3,4,0
"0291006",256,861,297,9,4,0
"0291007",257,592,185,4,0,0
"0291008",258,1076,209,9,5,1
"0291009",259,694,474,15,8,2
"0291010",260,320,74,3,1,0
"0291011",261,412,155,6,5,1
"0291012",262,800,432,7,4,1
"0291013",263,1055,263,11,5,1
"0291014",264,517,127,6,1,1
"0291015",265,553,167,4,4,0
"0291016",266,446,139,3,4,1
"0291017",267,96,49,2,0,0
"0291018",268,350,129,2,2,0
"0291019",269,306,109,5,3,2
"0291020",270,679,242,5,1,0
"0291021",271,661,221,8,7,1
"0291022",272,367,123,2,0,0
"0291023",273,943,264,8,3,0
"0291024",274,1301,719,22,15,2
"0291025",275,223,68,0,3,0
"0291026",276,452,166,8,4,0
"0291027",277,175,127,2,1,0
"0291028",278,290,112,2,1,0
"0291029",279,803,247,6,4,0
"0291030",280,23,16,0,2,0
"0291031",281,589,179,8,6,0
"0291032",282,902,232,11,6,0
"0291033",283,656,357,10,4,2
"0291034",284,1706,1375,48,7,3
"0291035",285,220,227,15,7,1
"0291036",286,1334,764,18,8,1
"0291037",287,907,366,16,7,1
"0291038",288,1203,625,22,14,4
"0291039",289,1021,349,11,11,0
"0291040",290,951,303,8,4,1
"0291041",291,796,254,11,3,0
"0291042",292,445,171,6,1,0
"0291043",293,609,301,10,6,0
"0291044",294,915,331,11,4,2
"0291045",295,1345,535,19,10,2
"0291046",296,822,292,13,4,0
"0291047",297,650,229,5,6,0
"0291048",298,869,347,8,10,1
"0291049",299,960,396,11,5,0
"0291050",300,330,154,3,4,1
"0291051",301,694,420,7,8,0
"0291052",302,861,380,5,2,0
"0291053",303,88,40,0,0,0
"0291054",304,1034,461,14,10,1
"0291055",305,897,487,20,5,0
"0291056",306,1180,731,21,10,0
"0291057",307,644,700,7,4,2
"0291058",308,783,721,5,5,2
"0291059",309,152,91,1,1,0
"0291060",310,1155,428,15,6,1
"0291061",311,979,337,14,8,2
"0291062",312,34,63,1,0,0
"0291063",313,562,645,10,4,0
"0291064",314,401,311,4,2,1
"0291065",315,714,709,9,3,0
"0291066",316,270,177,4,1,0
"0291067",317,878,1095,10,5,0
"0291068",318,701,576,29,2,1
"0291069",319,199,181,5,0,0
"0291070",320,415,192,6,5,0
"0291071",321,783,418,4,4,1
"0291072",322,884,341,12,3,0
"0291073",323,1411,1028,35,4,2
"0291074",324,6,5,0,0,0
"0291075",325,823,318,15,4,1
"0291076",326,1155,616,18,6,0
"0291077",327,696,221,8,8,0
"0291078",328,210,61,1,0,0
"0291079",329,1146,551,27,5,4
"0291080",330,1389,538,26,7,2
"0291081",331,529,760,16,3,1
"0291082",332,1214,649,33,8,1
"0291083",333,1177,704,24,10,0
"0291084",334,761,320,15,6,1
"0291085",335,635,270,9,7,1
"0291086",336,1012,473,9,5,1
"0291087",337,635,250,9,1,1
"0291088",338,352,115,7,9,0
"0291089",339,24,7,0,0,0
"0291090",340,0,0,0,0,0
"0291091",341,969,451,12,6,0
"0291092",342,420,212,6,3,1
"0291093",343,529,295,11,4,1
"0291094",344,991,562,21,5,1
"0291095",345,95,72,4,2,0
"0291096",346,58,15,2,1,0
"0291097",347,289,125,5,4,0
"0291098",348,387,84,0,2,0
"0291099",349,1299,676,26,8,0
"0291100",350,1210,665,12,6,0
"0291101",351,0,0,0,0,0
"0291102",352,291,324,4,1,4
"0291103",353,288,275,9,1,0
"0291104",354,1375,804,30,14,0
"0291105",355,262,158,5,4,0
"0291106",356,0,0,0,0,0
"0291107",357,943,785,15,12,1
"0291108",358,786,556,21,4,1
"0291109",359,0,3,0,0,0
"0291110",360,1236,731,32,5,2
"0291111",361,1631,965,29,7,4
"0291112",362,1037,460,20,13,1
"0291113",363,1275,686,32,9,1
"0291114",364,23,18,0,0,0
"0291115",365,472,170,7,4,2
"0291116",366,513,444,11,2,0
"0291117",367,123,78,1,0,1
"0291118",368,1288,1091,39,11,1
"0291119",369,56,19,0,1,0
"0291120",370,70,17,1,0,0
"0291121",371,1500,930,35,8,3
"0291122a",372,1198,870,23,2,1
"0291122b",373,59,41,1,0,0
"0291123",374,168,183,0,1,0
"0291124",375,88,35,0,0,0
"0291125",376,880,672,17,4,0
"0291126",377,0,0,0,0,0
"0291127",378,210,84,4,0,0
"0291128",379,606,402,16,3,1
"0291129",380,1068,656,18,6,1
"0291130",381,0,0,0,0,0
"0291131",382,0,0,0,0,0
"0291132",383,214,97,0,1,0
"0291133",384,0,2,0,0,0
"0291134",385,0,0,0,0,0
"0291135",386,0,0,0,0,0
"0291136",387,40,27,0,0,0
"0291137",388,0,0,0,0,0
"0291138",389,373,157,4,2,2
"0291139",390,804,337,13,5,0
"0291140",391,495,316,14,1,1
"0291141",392,955,666,29,6,3
"0291142",393,875,402,21,5,0
"0291143",394,1404,1035,30,10,0
"0291144",395,958,1302,12,4,0
"0291145",396,251,294,2,0,0
"0291146",397,51,56,1,0,0
"0291147",398,1115,615,21,9,1
"0291148",399,340,195,5,4,1
"0291149",400,981,495,21,9,2
"0291150",401,1046,691,23,3,1
"0291151",402,1002,702,29,3,0
"0291152",403,577,338,9,3,1
"0291153",404,448,374,14,2,0
"0291154a",405,783,571,14,2,0
"0291154b",406,7,4,0,0,0
"0291154c",407,11,7,0,0,0
"0291155",408,609,323,17,4,0
"0291156",409,1120,787,27,4,0
"0291157",410,1024,452,19,10,1
"0291158",411,371,141,6,1,0
"0291159",412,121,46,2,1,0
"0292001",413,284,76,3,0,0
"0292002",414,480,145,1,1,0
"0292003",415,731,198,4,2,0
"0292004",416,1072,296,14,7,3
"0292005",417,456,123,6,7,1
"0292006",418,9,2,0,0,0
"0292007",419,617,188,6,2,1
"0292008",420,413,132,9,3,2
"0292009",421,892,320,10,4,2
"0292010",422,536,323,13,2,0
"0292011",423,735,194,7,7,1
"0292012",424,542,155,4,4,0
"0292013",425,533,153,9,3,0
"0292014",426,502,172,4,0,0
"0292015",427,642,188,9,6,1
"0292016",428,459,91,2,2,0
"0292017",429,365,101,7,0,0
"0292018",430,559,168,4,1,0
"0292019",431,647,157,5,0,0
"0292020",432,1075,243,12,7,1
"0292021",433,1052,305,10,15,4
"0292022",434,582,169,3,2,1
"0292023",435,1113,331,15,11,2
"0292024",436,706,292,15,3,1
"0292025",437,1174,383,12,9,0
"0292026",438,1015,451,11,6,1
"0292027",439,603,272,5,8,0
"0292028",440,1107,450,6,3,1
"0292029",441,419,123,1,4,0
"0292030",442,550,150,4,5,0
"0292031",443,563,146,6,5,0
"0292032",444,228,66,0,4,0
"0292033",445,277,79,3,4,1
"0292034",446,285,93,7,3,0
"0292035",447,773,220,6,2,0
"0292036",448,894,357,16,3,0
"0292037",449,576,521,13,5,0
"0292038",450,600,335,10,4,0
"0292039",451,727,173,5,8,2
"0292040",452,1032,438,11,11,1
"0292041",453,1200,461,9,7,1
"0292042",454,660,206,10,7,0
"0292043",455,796,260,9,10,0
"0292044",456,812,291,9,7,2
"0292045",457,650,168,9,6,1
"0292046",458,975,369,13,4,0
"0292047",459,817,300,10,3,1
"0292048",460,706,226,11,7,0
"0292049",461,1227,489,13,7,1
"0292050",462,828,348,8,3,0
"0292051",463,303,107,6,1,0
"0292052",464,372,153,5,3,1
"0292053",465,545,156,11,1,0
"0292054",466,1040,262,10,8,2
"0292055",467,880,244,16,8,1
"0292056",468,603,233,7,5,0
"0292057",469,897,304,9,5,2
"0292058",470,888,359,11,8,3
"0292059",471,904,364,12,6,1
"0292060",472,640,244,2,5,1
"0292061",473,500,277,6,5,0
"0292062",474,536,271,8,3,0
"0292063",475,641,903,24,0,0
"0292064",476,995,542,16,5,0
"0292065a",477,795,438,14,4,1
"0292065b",478,47,26,0,0,0
"0292066",479,1533,1296,38,8,0
"0292067",480,144,35,1,0,0
"0292068",481,1658,1269,34,7,4
"0292069",482,1283,658,11,12,2
"0292070",483,771,177,9,5,0
"0292071",484,262,93,4,2,1
"0292072",485,1285,905,34,11,0
"0292073",486,475,229,7,5,0
"0292074",487,392,120,2,4,0
"0292075",488,412,89,2,3,0
"0292076",489,984,719,26,6,3
"0292077",490,1009,688,24,8,0
"0292078",491,1044,590,23,6,1
"0292079",492,251,41,4,1,0
"0292080",493,576,247,9,7,0
"0292081",494,404,155,4,2,1
"0292082",495,623,290,12,3,1
"0292083",496,408,127,6,4,0
"0292084",497,1266,1262,29,3,1
"0292085",498,608,262,12,2,0
"0292086",499,1477,936,36,15,0
"0292087",500,726,622,17,4,1
"0292088",501,1686,919,31,12,2
"0292089",502,201,49,0,0,1
"0292090",503,926,360,20,8,0
"0292091",504,1285,468,22,12,1
"0292092",505,173,118,4,2,0
"0292093",506,615,393,11,3,0
"0292094",507,68,60,2,0,0
"0292095",508,908,777,22,4,3
"0292096",509,1060,452,25,6,2
"0292097",510,1081,566,27,8,1
"0292098",511,574,298,13,3,0
"0292099",512,605,492,17,7,0
"0292100",513,543,269,11,3,0
"0292101",514,21,33,1,0,0
"0292102",515,1074,786,12,5,0
"0292103",516,105,32,4,1,0
"0292104",517,132,38,0,0,1
"0292105",518,235,73,1,2,0
"0292106",519,222,95,4,1,1
"0292107",520,1460,894,35,8,3
"0292108",521,458,444,13,3,1
"0292109",522,1,0,0,0,0
"0292110",523,463,321,7,5,1
"0292111",524,442,215,9,3,2
"0292112",525,757,461,11,7,2
"0292113",526,39,15,0,0,0
"0292114",527,895,425,8,7,1
"0292115",528,1836,1518,50,9,1
"0292116",529,0,0,0,0,0
"0292117",530,289,70,4,3,0
"0292118",531,13,1,1,0,0
"0292119",532,142,38,0,0,0
"0292120",533,951,717,22,4,2
"0292121",534,208,111,3,1,0
"0292122",535,687,267,14,7,0
"0292123",536,760,682,16,3,1
"0292124",537,296,177,4,2,1
"0292125",538,1237,994,26,7,2
"0292126",539,600,339,7,5,1
"0292127",540,1068,738,25,8,3
"0292128",541,906,312,9,5,2
"0292129",542,0,0,0,0,0
"0292130",543,968,558,10,3,0
"0292131",544,183,94,4,3,0
"0292132",545,0,0,0,0,0
"0292133",546,157,105,3,0,0
"0292134",547,529,238,17,8,1
"0292135",548,314,141,7,4,0
"0292136",549,1713,1309,47,9,3
"0292137",550,506,281,6,4,0
"0292138",551,396,248,9,3,0
"0292139",552,769,608,18,3,1
"0292140",553,765,318,13,5,2
"0292141",554,618,403,16,4,0
"0292142",555,259,110,2,3,0
"0292143",556,813,582,16,6,1
"0292144",557,873,437,26,3,0
"0292145",558,163,109,3,0,0
"0292146",559,40,14,1,0,0
"0292147",560,243,159,6,1,0
"0292148",561,1619,655,40,11,3
"0292149",562,902,388,11,9,2
"0292150",563,7,1,0,0,0
"0292151",564,11,6,0,0,0
"0292152",565,234,77,3,2,0
"0292153",566,135,71,2,2,1
"0292154",567,1640,1148,45,17,0
"0292155",568,1,0,0,0,0
"0292156",569,611,245,7,1,0
"0292157",570,0,0,0,0,0
"0292158",571,0,0,0,0,0
"0292159",572,83,66,4,2,0
"0292160",573,3,1,0,0,0
"0292161",574,86,77,0,0,0
"0292162",575,345,151,9,6,2
"0292163",576,1050,701,29,9,1
"0292164",577,953,537,23,8,1
"0292165",578,1241,904,25,2,0
"0292166",579,763,521,15,5,0
"0292167",580,20,10,0,0,0
"0292168",581,733,396,16,6,0
"0292169",582,664,438,5,6,3
"0292170",583,1567,1102,41,6,1
"0292171",584,672,419,14,5,1
"0292172",585,175,88,6,1,0
"0292173",586,617,341,7,9,1
"0292174",587,1067,757,21,2,1
"0292175",588,790,361,19,5,2
"0292176",589,548,419,17,1,1
"0292177",590,0,0,0,0,0
"0292178",591,592,160,9,7,0
"0292179",592,59,52,2,1,0
"0292180a",593,1316,729,28,8,1
"0292180b",594,26,15,1,0,0
"0292181a",595,272,225,7,2,0
"0292181b",596,61,51,2,0,0
"0292181c",597,52,43,2,0,0
"0292181d",598,105,86,3,0,0
"0292181e",599,27,22,0,0,0
"0292181f",600,26,22,1,0,0
"0292181g",601,7,6,0,0,0
"0292182a",602,47,40,2,0,0
"0292182b",603,68,58,3,0,0
"0292182c",604,174,146,5,1,0
"0293001",605,1304,1337,24,5,5
"0293002",606,823,1069,24,4,0
"0293003",607,553,574,12,6,0
"0293004",608,0,0,0,0,0
"0293005",609,905,1568,19,6,2
"0293006",610,422,433,14,5,0
"0293007",611,1225,1113,32,2,0
"0293008",612,35,46,0,0,0
"0293009",613,0,11,0,0,1
"0293010",614,294,124,5,0,0
"0293011",615,428,379,5,1,0
"0293012",616,376,625,13,1,0
"0293013",617,805,554,24,4,0
"0293014",618,198,185,8,1,0
"0293015",619,677,508,9,6,0
"0293016",620,0,0,0,0,0
"0293017",621,688,1401,24,1,0
"0293018",622,770,726,16,3,0
"0293019",623,0,0,0,0,0
"0293020",624,1209,851,31,5,1
"0293021",625,673,1320,21,2,0
"0293022",626,717,603,10,1,0
"0293023",627,20,36,1,0,0
"0293024",628,0,0,0,0,0
"0293025",629,702,674,12,1,0
"0293026",630,616,621,12,3,0
"0293027",631,590,596,17,2,1
"0293028",632,754,730,9,5,0
"0293029",633,549,388,18,5,0
"0293030",634,852,953,14,5,2
"0293031",635,12,6,0,0,0
"0293032",636,10,9,0,0,0
"0293033",637,662,1011,8,2,0
"0293034",638,563,1556,14,2,0
"0293035",639,350,272,3,4,0
"0293036",640,1871,1011,36,10,2
"0293037",641,34,34,1,0,0
"0293038",642,487,423,11,4,0
"0293039",643,1267,1964,42,3,2
"0293040",644,850,759,20,2,0
"0293041",645,219,222,2,1,0
"0293042",646,851,997,22,4,1
"0293043",647,829,1498,29,4,2
"0293044",648,594,530,11,0,0
"0293045",649,543,705,10,2,0
"0293046",650,670,521,13,3,2
"0293047",651,802,670,15,4,1
"0293048",652,742,517,18,4,0
"0293049",653,835,917,17,1,0
"0293050",654,450,432,9,4,0
"0293051",655,113,190,6,0,0
"0293052",656,536,576,7,3,1
"0293053",657,772,689,17,2,0
"0293054",658,69,17,0,2,0
"0293055",659,825,1786,32,1,0
"0293056",660,900,499,18,6,2
"0293057",661,222,215,3,1,0
"0293058",662,1553,871,49,10,1
"0293059",663,685,742,14,4,1
"0293060",664,809,621,16,5,1
"0293061",665,767,566,18,7,1
"0293062",666,13,9,0,0,0
"0293063",667,808,654,13,3,0
"0293064",668,193,150,3,0,0
"0293065",669,1208,1285,24,6,1
"0293066",670,788,653,11,5,0
"0293067",671,652,577,16,7,0
"0293068",672,1144,525,26,13,3
"0293069",673,1382,1120,33,4,0
"0293070",674,1019,935,21,5,0
"0293071",675,1097,694,16,10,3
"0293072",676,1458,1794,41,7,2
"0293073",677,716,510,18,6,0
"0293074",678,1010,1027,28,5,0
"0293075",679,1042,1510,30,7,1
"0293076",680,479,640,11,3,0
"0293077",681,1032,953,25,3,2
"0293078",682,1142,1093,30,8,1
"0293079",683,1265,1209,20,2,4
"0293080",684,437,455,10,2,0
"0293081",685,900,788,26,6,2
"0293082",686,931,852,37,6,0
"0293083",687,555,623,15,6,3
"0293084",688,1247,1216,37,8,1
"0293085",689,494,449,20,3,0
"0293086",690,701,723,19,8,0
"0293087",691,528,668,12,2,0
"0293088",692,1345,1480,26,7,3
"0293089",693,1046,1862,32,6,1
"0293090",694,1130,1222,44,14,2
"0293091",695,227,463,9,2,0
"0293092",696,760,1360,27,2,1
"0293093",697,986,1166,23,2,0
"0293094",698,1371,1698,23,5,3
"0293095",699,1240,633,20,6,1
"0293096",700,1109,1449,36,6,1
"0293097",701,1,10,0,0,0
"0293098",702,491,496,15,0,0
"0293099",703,1410,1303,19,7,2
"0293100",704,1307,1120,35,11,3
"0293101",705,1075,1038,28,9,1
"0293102",706,1163,1233,38,5,0
"0293103",707,320,218,3,3,0
"0293104",708,968,1083,34,5,0
"0293105",709,1227,1184,41,8,2
"0293106",710,491,833,11,1,1
"0293107",711,300,536,8,0,0
"0293108",712,546,686,12,3,0
"0293109",713,1207,877,32,3,4
"0293110",714,1154,1093,26,6,0
"0293111",715,0,0,0,0,0
"0293112",716,712,353,17,7,1
"0293113",717,475,222,18,7,1
"0293114",718,710,1165,20,2,0
"0293115",719,723,761,12,4,1
"0293116",720,633,738,20,3,0
"0293117",721,1136,1273,26,6,1
"0293118",722,410,343,6,4,2
"0293119",723,1013,744,32,4,0
"0293120",724,1291,1221,38,13,1
"0293121",725,1124,1161,30,3,0
"0293122",726,890,872,14,3,0
"0293123",727,212,329,7,2,0
"0293124",728,1548,1754,33,9,1
"0293125",729,1344,1554,31,6,1
"0293126",730,704,844,15,5,1
"0293127",731,661,782,15,0,0
"0293128",732,15,25,0,1,0
"0293129",733,1448,929,40,10,1
"0293130",734,644,825,20,5,0
"0293131",735,0,2,0,0,0
"0293132",736,590,312,9,1,1
"0293133",737,0,0,0,0,0
"0293134",738,1213,509,23,11,0
"0293135",739,432,239,10,3,0
"0293136",740,571,418,18,3,0
"0293137",741,1104,1275,34,6,4
"0293138",742,13,31,3,0,0
"0293139a",743,466,483,13,1,0
"0293139b",744,28,30,1,0,0
"0293139c",745,44,45,2,0,0
"0293140",746,14,4,0,0,0
"0293141",747,3,0,0,0,0
"0293142",748,215,130,7,0,0
"0293143",749,640,500,9,2,0
"0293144",750,224,168,8,0,0
"0293145",751,1397,1361,40,7,1
"0293146",752,1597,880,35,8,0
"0293147",753,48,16,0,0,0
"0293148",754,460,589,7,1,0
"0293149",755,920,250,22,11,2
"0293150",756,15,15,0,0,0
"0293151",757,1081,1323,24,6,0
"0293152",758,278,343,6,0,0
"0293153",759,589,575,9,5,0
"0293154",760,600,723,11,2,0
"0293155",761,1019,1206,29,2,0
"0293156",762,7,7,0,0,0
"0293157",763,1054,1038,22,6,2
"0293158",764,29,31,0,0,0
"0293159",765,929,564,14,7,2
"0293160",766,577,680,15,4,1
"0293161",767,1096,671,29,6,2
"0293162",768,1131,839,19,3,1
"0293163",769,928,1063,23,4,0
"0293164",770,610,965,15,2,0
"0293165",771,1413,1517,50,8,0
"0293166",772,221,165,8,2,0
"0293167",773,1,1,0,0,0
"0293168",774,251,216,0,1,0
"0293169",775,39,68,0,0,0
"0293170",776,0,0,0,0,0
"0293171",777,0,0,0,0,0
"0293172",778,265,131,5,3,1
"0293173",779,1424,1428,25,3,1
"0293174",780,1483,1959,32,2,2
"0293175",781,247,218,2,2,0
"0293176",782,20,19,0,0,0
"0293177",783,0,0,0,0,0
"0293178",784,0,0,0,0,0
"0293179",785,0,0,0,0,0
"0293180",786,490,371,8,2,0
"0293181",787,853,1004,17,8,1
"0293182",788,339,277,4,1,0
"0293183",789,1,11,0,0,0
"0293184",790,71,79,2,2,0
"0293185",791,126,89,3,0,0
"0293186",792,0,0,0,0,0
"0293187",793,0,0,0,0,0
"0293188",794,0,0,0,0,0
"0293189",795,495,370,6,2,0
"0293190",796,184,100,6,0,0
"0293191",797,85,83,0,0,0
