CNTYVTD,VTDKEY,CruzR_12G_U.S. Sen,SadlerD_12G_U.S. Sen,MyersL_12G_U.S. Sen,CollinsG_12G_U.S. Sen
"1133200",2563,837,747,22,4
"1133201",2564,578,544,16,8
"1133202",2565,401,904,18,4
"1133203",2566,454,802,20,13
"1133204",2567,596,846,30,14
"1133205",2568,127,954,3,1
"1133206",2569,859,700,27,12
"1133207",2570,767,840,31,10
"1133208",2571,397,595,24,10
"1133209",2572,75,58,3,1
"1133210",2573,559,673,24,11
"1133211",2574,220,334,12,8
"11332a0",2575,0,0,0,0
"11332a1",2576,0,0,0,0
"11332c1",2577,0,0,0,0
"11332t0",2578,0,0,0,0
"11332t1",2579,0,0,0,0
"1133304",2580,932,692,39,6
"1133305",2581,1165,1036,40,12
"1133306",2582,387,426,15,4
"1133307",2583,343,505,16,8
"1133308",2584,440,526,19,9
"1133309",2585,622,561,18,9
"1133310",2586,731,656,39,13
"1133311",2587,699,513,26,7
"1133312",2588,1007,943,36,11
"1133313",2589,705,1088,27,15
"1133314",2590,667,1129,29,16
"1133315",2591,303,434,13,7
"1133316",2592,746,865,31,9
"1133317",2593,320,510,7,2
"1133318",2594,468,443,16,1
"1133319",2595,14,23,0,0
"1133321",2596,0,0,0,0
"1133325",2597,417,658,17,8
"1133327",2598,0,0,0,0
"1133328",2599,7,7,0,0
"1133500",2600,1261,417,26,7
"1133501",2601,2,1,0,0
"1133503",2602,471,151,11,3
"1133504",2603,230,78,5,1
"1133600",2604,298,1012,6,7
"1133601",2605,357,1004,21,8
"1133602",2606,110,347,2,2
"1133603",2607,62,130,1,0
"1133604",2608,505,1341,17,10
"1133605",2609,279,1210,19,7
"1133606",2610,151,1527,15,7
"1133607",2611,317,2057,16,12
"1133608",2612,180,1744,18,6
"1133609",2613,357,1403,10,11
"1133610",2614,127,195,4,2
"1133611",2615,246,445,4,5
"1133612",2616,336,1753,19,7
"1133613",2617,153,241,2,2
"1133614",2618,67,492,3,0
"1133615",2619,214,1377,19,6
"1133616",2620,41,359,4,2
"1133617",2621,95,905,6,5
"1133618",2622,20,100,2,1
"1133619",2623,45,71,1,1
"1133620",2624,114,542,6,2
"1133621",2625,84,362,5,1
"1133701",2626,6,3,0,1
"1133702",2627,0,0,0,0
"1133800",2628,141,2223,29,5
"1133801",2629,42,124,1,1
"1133802",2630,256,2334,27,14
"1133803",2631,142,1874,18,16
"1133805",2632,168,2731,28,11
"1133806",2633,35,492,3,2
"1133807",2634,260,1121,19,5
"1133808",2635,812,1192,36,12
"1133809",2636,58,172,5,3
"1133900",2637,264,1178,17,12
"1133920",2638,734,550,23,10
"1133921",2639,965,821,40,10
"1133922",2640,5,36,0,0
"1133940",2641,313,563,17,11
"1133950",2642,235,666,12,6
"1133951",2643,225,1006,13,10
"1133952",2644,11,53,1,1
"1133960",2645,1013,685,37,17
"1133961",2646,744,526,19,5
"1133962",2647,1545,834,52,20
"1133963",2648,744,502,24,12
"1133964",2649,572,473,26,2
"1133965",2650,953,671,32,13
"1133966",2651,1029,641,35,14
"1133967",2652,493,292,15,10
"1133968",2653,1230,830,49,6
"1133969",2654,1457,506,27,4
"1133970",2655,1429,584,41,12
"1133971",2656,657,438,28,8
"1133980",2657,1127,549,41,13
"1133981",2658,724,246,28,11
"1133982",2659,995,365,29,11
"1133983",2660,610,230,18,6
"1133984",2661,436,212,13,5
"1134000",2662,43,148,5,5
"1134001",2663,157,316,12,5
"1134002",2664,325,321,14,8
"1134003",2665,36,92,2,2
"1134004",2666,291,499,26,11
"1134005",2667,211,255,10,4
"1134006",2668,353,375,28,5
"1134007",2669,62,55,1,2
"1134008",2670,43,132,3,0
"1134009",2671,139,353,9,4
"1134010",2672,342,377,21,3
"1134011",2673,115,204,3,5
"1134012",2674,17,26,2,1
"1134013",2675,115,115,5,1
"1134014",2676,810,487,17,8
"1134015",2677,154,826,16,5
"1134016",2678,184,874,17,6
"1134017",2679,111,175,8,1
"1134018",2680,268,288,16,2
"1134019",2681,122,615,17,6
"1134020",2682,51,195,2,0
"1134021",2683,245,854,38,9
"1134022",2684,107,365,19,7
"1134023",2685,5,1,0,0
"1134024",2686,81,991,19,4
"1134025",2687,4,164,0,0
"1134026",2688,27,128,4,1
"1134027",2689,22,57,3,0
"1134028",2690,28,502,2,1
"1134029",2691,2,11,0,0
"1134030",2692,0,7,1,0
"1134031",2693,38,1091,7,4
"1134033",2694,181,248,24,5
"1134035",2695,115,494,7,3
"1134036",2696,47,339,4,2
"1134037",2697,21,67,0,0
"1134038",2698,94,1017,13,9
"1134039",2699,9,295,2,0
"1134040",2700,18,461,2,2
"1134041",2701,10,319,1,2
"1134043",2702,52,528,3,3
"1134044",2703,37,493,2,3
"1134046",2704,24,515,8,3
"1134047",2705,20,434,2,0
"1134048",2706,59,4,2,0
"1134049",2707,0,0,0,0
"1134050",2708,621,1560,40,17
"1134051",2709,0,0,0,0
"1134052",2710,448,1254,24,7
"1134053",2711,38,134,6,0
"1134054",2712,37,107,2,0
"1134055",2713,280,873,19,7
"1134056",2714,171,937,7,5
"1134057",2715,158,532,10,6
"1134058",2716,90,253,5,2
"1134059",2717,18,125,3,0
"1134060",2718,196,699,14,4
"1134061",2719,257,583,20,10
"1134062",2720,177,451,14,7
"1134063",2721,310,814,31,17
"1134065",2722,94,168,14,2
"1134066",2723,109,305,11,3
"1134067",2724,232,534,14,10
"1134068",2725,208,528,24,12
"1134069",2726,342,827,31,13
"1134070",2727,165,451,12,4
"1134071",2728,23,86,3,0
"1134072",2729,24,79,3,0
"1134073",2730,226,519,28,5
"1134074",2731,345,846,26,19
"1134075",2732,90,264,14,3
"1134076",2733,254,732,22,8
"1134077",2734,86,274,14,3
"1134078",2735,150,427,21,9
"1134079",2736,705,1499,42,16
"1134080",2737,222,229,14,5
"1134081",2738,228,810,15,12
"1134082",2739,20,111,2,1
"1134083",2740,62,119,6,3
"1134084",2741,29,220,4,2
"1134085",2742,98,309,5,2
"1134086",2743,207,745,19,9
"1134087",2744,58,170,9,2
"1134088",2745,29,77,2,1
"1134090",2746,22,20,0,0
"1134091",2747,0,0,0,0
"1134092",2748,38,52,3,2
"1134093",2749,1,36,0,0
"1134094",2750,127,140,4,2
"1134095",2751,6,11,0,0
"1134096",2752,14,3,0,0
"1134097",2753,160,303,10,5
"1134098",2754,12,13,1,0
"1134099",2755,384,249,11,1
"11340a2",2756,0,0,0,0
"11340a3",2757,0,0,0,0
"1134100",2758,5,6,0,0
"1134101",2759,10,35,0,0
"1134107",2760,5,45,1,0
"1134108",2761,2,35,1,0
"1134109",2762,1,25,0,0
"1134110",2763,22,587,3,1
"1134111",2764,35,83,1,0
"1134112",2765,141,9,5,0
"1134113",2766,255,505,10,7
"1134114",2767,158,418,16,6
"1134115",2768,62,76,2,3
"1134116",2769,0,2,0,0
"1134117",2770,5,23,0,0
"1134118",2771,0,2,0,0
"1134119",2772,1,2,0,0
"1134120",2773,38,129,2,1
"1134122",2774,0,0,0,0
"1134125",2775,0,0,0,0
"1134126",2776,670,326,16,3
"1134127",2777,298,96,4,1
"1134128",2778,640,237,6,5
"1134129",2779,868,270,14,5
"1134130",2780,639,476,18,5
"1134131",2781,177,620,27,6
"1134135",2782,117,429,13,2
"1134141",2783,25,54,1,0
"1134143",2784,3,84,0,0
"1134145",2785,0,0,0,0
"1134147",2786,1,7,0,0
"1134149",2787,11,22,1,0
"1134152",2788,0,0,0,0
"1134153",2789,47,103,2,1
"1134157",2790,38,68,3,1
"1134161",2791,95,262,6,1
"1134166",2792,0,0,0,0
"11341a1",2793,0,0,0,0
"1134300",2794,196,389,9,7
"1134500",2795,506,677,16,7
"1134501",2796,641,585,30,12
"1134502",2797,818,1089,42,6
"1134503",2798,642,1132,25,15
"1134504",2799,344,374,17,4
"1134505",2800,453,448,12,4
"1134506",2801,310,329,14,4
"1134507",2802,48,540,6,1
"1134508",2803,114,138,12,3
"1134509",2804,524,280,16,5
"1134510",2805,367,412,12,2
"1134511",2806,356,421,14,7
"1134512",2807,368,284,13,5
"1134513",2808,442,664,18,14
"1134514",2809,433,258,13,7
"1134515",2810,295,390,26,9
"1134516",2811,4,2,0,1
"1134517",2812,1258,659,37,14
"1134518",2813,459,440,13,7
"1134519",2814,900,901,31,12
"1134520",2815,293,396,13,5
"1134521",2816,1180,1043,38,21
"1134522",2817,683,929,26,6
"1134523",2818,95,157,3,3
"1134525",2819,251,390,11,2
"1134527",2820,255,317,9,6
"1134528",2821,0,0,0,0
"1134529",2822,195,246,10,0
"1134530",2823,13,80,1,0
"1134531",2824,197,104,1,4
"1134532",2825,87,55,3,2
"1134533",2826,179,213,8,2
"1134534",2827,21,27,2,1
"1134535",2828,94,156,4,2
"1134536",2829,16,5,0,0
"1134537",2830,0,3,0,0
"1134538",2831,164,244,11,3
"1134539",2832,0,0,0,0
"1134541",2833,0,0,0,0
"1134542",2834,0,0,0,0
"1134554",2835,16,12,0,0
"1134555",2836,9,7,0,0
"1134557",2837,0,0,0,0
"1134558",2838,0,0,0,0
"1134559",2839,0,0,0,0
"1134600",2840,649,449,27,14
"1134601",2841,1221,799,46,11
"1134602",2842,550,416,28,11
"1134603",2843,9,15,0,0
"1134604",2844,716,657,24,17
"1134605",2845,677,546,34,9
"1134606",2846,788,621,35,9
"1134607",2847,335,424,11,17
"1134608",2848,637,955,29,6
"1134609",2849,226,602,18,10
"1134610",2850,807,526,27,8
"1134611",2851,442,331,20,15
"1134612",2852,116,54,4,1
"1134613",2853,92,148,2,1
"1134614",2854,247,81,9,2
"1134615",2855,44,61,2,1
"1134616",2856,209,286,12,9
"1134617",2857,62,36,0,0
"1134618",2858,130,109,4,5
"1134619",2859,524,260,18,5
"1134620",2860,494,329,24,5
"1134621",2861,587,1139,38,13
"1134622",2862,575,491,25,8
"1134623",2863,564,610,28,13
"1134624",2864,506,400,23,8
"1134625",2865,718,480,25,8
"1134626",2866,969,546,44,13
"1134627",2867,743,547,39,12
"1134628",2868,278,837,21,10
"1134629",2869,237,331,18,5
"1134630",2870,518,351,20,8
"1134631",2871,461,294,21,10
"1134632",2872,189,404,14,8
"1134633",2873,147,299,8,4
"1134634",2874,805,554,34,8
"1134639",2875,96,155,5,3
"1134640",2876,439,942,25,13
"1134641",2877,153,124,8,1
"1134642",2878,49,34,0,0
"1134644",2879,0,0,0,0
"1134646",2880,142,101,10,1
"1134648",2881,304,812,22,9
"1134649",2882,6,8,2,0
"1134651",2883,6,10,0,0
"1134652",2884,117,142,10,4
"1134653",2885,9,21,1,0
"1134654",2886,287,288,16,2
"1134655",2887,34,3,1,1
"1134656",2888,19,25,1,1
"1134657",2889,12,10,1,0
"1134658",2890,23,28,1,1
"1134659",2891,42,56,1,1
"1134660",2892,11,8,0,1
"1134661",2893,146,190,8,2
"1134662",2894,80,69,2,2
"1134663",2895,0,0,0,0
"1134664",2896,184,136,9,1
"1134665",2897,0,0,0,0
"1134667",2898,0,0,0,0
"1134673",2899,0,0,0,0
"1134674",2900,0,0,0,0
"1134675",2901,18,23,1,1
"1134677",2902,2,5,0,0
"1134678",2903,2,2,0,0
"1150001",2904,288,271,11,8
"1150002",2905,338,268,11,4
"1150003",2906,792,184,14,5
"1150004",2907,717,174,12,5
"1150005",2908,74,4,0,0
"1150011",2909,102,22,0,3
"1150012",2910,45,3,0,0
"1150013",2911,95,6,0,0
"1150017",2912,58,7,1,0
"1170001",2913,663,245,16,4
"1170002",2914,605,260,12,5
"1170003",2915,1064,311,35,16
"1170004",2916,700,268,6,4
"1190001",2917,312,76,7,5
"1190003",2918,131,98,5,2
"1190004",2919,249,85,3,3
"1190005",2920,334,123,5,5
"1190007",2921,99,41,2,2
"1190009",2922,132,32,4,0
"1190010",2923,157,58,2,0
"1211000",2924,1249,280,30,14
"1211001",2925,612,147,26,10
"1211002",2926,87,21,4,1
"1211003",2927,465,131,18,7
"1211004",2928,1044,291,31,7
"1211005",2929,1,0,0,0
"1211006",2930,0,0,0,0
"1211007",2931,597,193,22,8
"1211008",2932,1381,362,27,18
"1211009",2933,69,37,1,0
"1211010",2934,1294,359,42,13
"1211011",2935,585,206,21,6
"1211012",2936,186,67,5,3
"1211013",2937,603,215,23,10
"1211014",2938,223,125,10,2
"1211015",2939,134,75,6,2
"1211016",2940,101,52,5,0
"1211017",2941,79,49,2,1
"1211018",2942,0,0,0,0
"1211019",2943,121,63,3,1
"1211020",2944,705,273,8,5
"1211021",2945,924,358,12,6
"1211022",2946,267,105,7,0
"1211023",2947,677,233,19,3
"1211024",2948,1158,446,28,7
"1211025",2949,586,227,15,5
"1211026",2950,1002,421,18,7
"1211027",2951,263,116,6,1
"1211028",2952,98,44,2,1
"1211029",2953,31,13,0,0
"1211030",2954,2,2,0,0
"1211031",2955,539,376,27,11
"1211032",2956,1665,490,40,9
"1211033",2957,1066,316,23,3
"1211034",2958,169,113,6,3
"1211035",2959,1218,934,57,13
"1211036",2960,1318,708,36,14
"1211037",2961,428,232,10,2
"1211038",2962,123,109,6,2
"1211039",2963,54,46,1,1
"1211040",2964,103,83,3,2
"1211041",2965,668,435,29,5
"1211042",2966,515,373,18,15
"1211043",2967,9,7,1,0
"1211044",2968,348,110,17,6
"1211045",2969,777,243,36,20
"1211046",2970,323,103,15,4
"1211047",2971,626,517,30,17
"1211048",2972,146,121,6,3
"1211049",2973,750,419,35,9
"1211050",2974,41,24,2,0
"1211051",2975,53,30,3,0
"1211052",2976,242,132,5,1
"1211053",2977,0,0,0,0
"1211054",2978,622,225,21,8
"1211055",2979,205,72,6,4
"1211056",2980,375,206,12,6
"1211057",2981,130,103,11,6
"1211058",2982,460,354,35,13
"1211059",2983,668,533,41,23
"1211060",2984,440,351,32,14
"1211061",2985,836,721,55,34
"1211062",2986,604,652,50,36
"1211063",2987,585,329,25,9
"1211064",2988,986,711,51,25
"1211065",2989,306,208,13,10
"1211066",2990,57,41,3,2
"1212067",2991,463,311,16,8
"1212068",2992,826,296,30,11
"1212069",2993,402,227,22,5
"1212070",2994,0,0,0,0
"1212071",2995,2011,570,49,18
"1212072",2996,1135,445,61,16
"1212073",2997,1606,591,55,19
"1212074",2998,964,286,36,9
"1212075",2999,292,90,10,4
"1212076",3000,693,505,27,17
"1212077",3001,430,311,15,10
"1212078",3002,126,89,7,3
"1212079",3003,446,215,18,5
"1212080",3004,863,295,21,4
"1212081",3005,438,175,16,4
"1212082",3006,139,47,5,1
"1212083",3007,542,167,14,0
"1212084",3008,931,537,60,24
"1212085",3009,1405,653,51,21
"1212086",3010,1184,510,55,20
"1212087",3011,1245,793,57,28
"1212088",3012,807,404,49,10
"1212089",3013,1319,408,33,3
"1212090",3014,1323,875,57,22
"1212091",3015,1846,649,38,6
"1212092",3016,325,233,34,9
"1212093",3017,29,20,1,0
"1212094",3018,130,43,2,1
"1212095",3019,1001,354,26,12
"1212096",3020,1289,493,30,14
"1212097",3021,862,507,29,13
"1212098",3022,41,29,4,1
"1212099",3023,1175,424,28,12
"1212100",3024,488,973,46,26
"1212101",3025,569,1159,42,21
"1212102",3026,968,1472,52,26
"1212103",3027,620,477,31,16
"1212104",3028,1007,712,49,14
"1212105",3029,933,412,39,11
"1212106",3030,1055,672,54,13
"1212107",3031,1516,727,60,21
"1212108",3032,693,407,30,11
"1212109",3033,949,838,44,17
"1212110",3034,956,528,48,19
"1212111",3035,1216,943,50,19
"1212112",3036,554,291,22,7
"1212113",3037,1461,769,54,10
"1212114",3038,614,327,25,13
"1213115",3039,581,539,25,8
"1213116",3040,996,920,37,15
"1213117",3041,60,57,1,2
"1213118",3042,543,340,25,8
"1213119",3043,39,25,2,1
"1213120",3044,433,275,20,10
"1213121",3045,473,325,24,5
"1213122",3046,324,374,17,6
"1213123",3047,980,1128,47,19
"1213124",3048,47,14,1,0
"1213125",3049,145,93,5,6
"1213126",3050,452,404,36,4
"1213127",3051,620,1013,67,16
"1213128",3052,688,586,30,23
"1213129",3053,802,475,44,12
"1213130",3054,1154,1048,63,28
"1213131",3055,1506,859,58,19
"1213132",3056,939,675,53,20
"1213133",3057,1865,908,84,30
"1213134",3058,832,426,46,14
"1213135",3059,1390,989,63,34
"1213136",3060,696,364,32,9
"1213137",3061,877,440,34,17
"1213138",3062,1359,471,54,21
"1213139",3063,1529,517,58,7
"1213140",3064,1827,627,47,11
"1213141",3065,1720,414,36,24
"1213142",3066,282,69,5,3
"1213143",3067,650,216,26,1
"1213144",3068,1351,556,38,14
"1213145",3069,1992,842,92,25
"1213146",3070,1066,463,41,10
"1213147",3071,1820,649,90,26
"1213148",3072,999,488,58,26
"1213149",3073,813,289,37,9
"1213150",3074,1164,415,57,16
"1213151",3075,1363,486,33,13
"1213152",3076,1063,317,42,15
"1213153",3077,1502,475,53,21
"1213154",3078,1466,430,35,6
"1213155",3079,1816,614,52,15
"1213156",3080,408,121,11,7
"1213157",3081,167,48,5,1
"1213158",3082,1084,366,51,14
"1213159",3083,1518,650,71,30
"1213160",3084,1402,522,61,28
"1214161",3085,793,516,35,14
"1214162a",3086,159,85,8,2
"1214162b",3087,31,17,1,0
"1214163",3088,519,259,23,5
"1214164",3089,1453,786,69,27
"1214165",3090,804,1486,90,30
"1214166",3091,442,381,32,10
"1214167",3092,566,907,72,50
"1214168",3093,283,449,46,40
"1214169",3094,280,505,51,37
"1214170",3095,577,1010,117,90
"1214171",3096,15,41,3,1
"1214172",3097,223,523,58,43
"1214173",3098,1,3,0,0
"1214174",3099,132,436,35,8
"1214175",3100,32,67,9,2
"1214176",3101,1091,567,48,18
"1214177",3102,153,179,15,4
"1214178",3103,243,369,37,23
"1214179",3104,1162,506,53,16
"1214180",3105,358,189,18,5
"1214181",3106,1343,722,75,30
"1214182",3107,35,9,2,0
"1214183",3108,233,46,6,2
"1214184",3109,1215,323,33,6
"1214185",3110,520,141,13,3
"1214186",3111,858,226,22,6
"1214187",3112,315,478,48,26
"1214188",3113,0,0,0,0
"1214189",3114,242,56,6,2
"1214190",3115,1044,245,35,14
"1214191",3116,689,163,17,10
"1214192",3117,486,141,22,10
"1214193",3118,1463,305,39,17
"1214194",3119,140,36,6,2
"1214195",3120,36,8,2,1
"1214196",3121,302,78,5,1
"1214197",3122,637,120,20,6
"1214198",3123,1358,254,39,10
"1214199",3124,18,5,0,0
"1214200",3125,19,5,1,0
"1214201",3126,645,169,14,5
"1214202",3127,1087,289,25,11
"1214203",3128,1068,282,24,8
"1214204",3129,1547,458,67,19
"1214205a",3130,1473,327,29,7
"1214205b",3131,0,0,0,0
"1214206",3132,1342,281,49,19
"1214207",3133,656,114,16,7
"1214208",3134,41,14,1,0
"1214209",3135,644,226,26,7
"1214210",3136,1503,406,42,15
"1214211",3137,2248,553,48,20
"1214212",3138,226,68,9,2
"1214213",3139,230,83,10,2
"1214214",3140,608,219,28,13
"1214215",3141,354,132,12,6
"1214216",3142,98,27,3,2
"1214217",3143,120,37,6,2
"1214218",3144,29,8,1,1
"1214219",3145,843,215,23,8
"1214220",3146,779,210,28,12
"1214221",3147,53,18,3,1
"1214222",3148,902,343,38,14
"1214223",3149,325,121,10,3
"1214224",3150,428,153,10,5
"1219100",3151,0,0,0,0
"1219101",3152,0,0,0,0
"1219102",3153,0,0,0,0
"1219200",3154,0,0,0,0
"1219201",3155,0,0,0,0
"1219202",3156,0,0,0,0
"1219203",3157,0,0,0,0
"1219204",3158,0,0,0,0
"1219300",3159,0,0,0,0
"1219301",3160,0,0,0,0
"1219302",3161,0,0,0,0
"1219303",3162,0,0,0,0
"1219304",3163,0,0,0,0
"1230101",3164,769,207,14,9
"1230102",3165,179,324,15,1
"1230201",3166,222,37,3,1
"1230202",3167,494,144,6,2
"1230203",3168,423,107,8,3
"1230301",3169,457,122,15,7
"1230302",3170,630,177,19,4
"1230303",3171,167,40,6,3
"1230401",3172,861,255,29,7
"1230402",3173,583,74,10,8
"1250001",3174,52,12,0,1
"1250002",3175,88,24,0,2
"1250003",3176,159,51,4,1
"1250004",3177,118,55,2,3
"1250005",3178,129,33,1,1
"1250006",3179,169,61,1,2
"1270001",3180,264,337,19,6
"1270002",3181,198,436,21,11
"1270003",3182,50,164,4,0
"1270004",3183,28,27,3,0
"1270005",3184,80,393,6,1
"1270006",3185,147,285,9,3
"1270007",3186,75,197,5,4
"1290101",3187,300,65,11,3
"1290201",3188,348,64,4,1
"1290301",3189,156,21,2,1
"1290303",3190,159,39,4,2
"1290401",3191,248,62,8,3
"1310001",3192,181,873,9,21
"1310002",3193,116,643,10,7
"1310003",3194,53,186,1,0
"1310004",3195,44,69,0,1
"1310005",3196,39,130,1,1
"1310006",3197,23,68,0,1
"1310007",3198,40,31,0,0
"1310008",3199,360,591,15,19
"1310009",3200,90,487,7,6
"1330001",3201,1385,248,35,12
"1330002",3202,170,37,5,0
"1330003",3203,612,160,20,12
"1330004",3204,61,11,2,0
"1330005",3205,291,72,4,3
"1330006",3206,143,20,2,1
"1330007",3207,984,177,21,3
"1330008",3208,1306,278,44,22
"1330009",3209,235,62,5,4
"1350101",3210,739,211,15,7
"1350102",3211,472,177,8,6
"1350103",3212,465,132,14,5
"1350104",3213,644,180,21,6
"1350108",3214,801,163,24,7
"1350109",3215,107,15,2,0
"1350110",3216,583,109,8,5
"1350111",3217,429,90,12,6
"1350201",3218,1124,161,23,6
"1350202",3219,1499,267,29,7
"1350203",3220,1848,282,40,17
"1350204",3221,1583,318,38,11
"1350205",3222,946,191,27,10
"1350206",3223,665,109,15,6
"1350207",3224,920,101,19,1
"1350208",3225,1382,299,24,12
"1350209",3226,709,161,16,7
"1350301",3227,808,344,20,6
"1350302",3228,358,145,11,6
"1350303",3229,538,242,20,7
"1350304",3230,104,81,1,4
"1350305",3231,95,76,5,4
"1350306",3232,281,178,9,2
"1350307",3233,609,260,15,12
"1350308",3234,430,106,8,2
"1350309",3235,535,153,11,8
"1350310",3236,461,138,12,4
"1350311",3237,345,144,12,4
"1350312",3238,615,146,18,7
"1350313",3239,388,72,17,6
"1350314",3240,626,146,15,15
"1350401",3241,233,117,11,5
"1350402",3242,148,463,6,0
"1350403",3243,248,678,11,7
"1350404",3244,289,151,5,3
"1350405",3245,106,223,6,1
"1350406",3246,489,408,15,11
"1350407",3247,596,197,16,8
"1350408",3248,103,106,5,1
"1350409",3249,168,127,7,2
"1350412",3250,140,103,3,1
"1370001",3251,89,47,2,1
"1370002",3252,235,43,4,2
"1370003",3253,163,38,9,3
"1370004",3254,137,44,2,1
"1391001",3255,140,760,10,2
"1391002",3256,43,12,2,0
"1391003",3257,598,228,26,11
"1391004",3258,0,0,0,0
"1391005",3259,713,204,18,5
"1391006",3260,615,179,21,5
"1391007",3261,739,175,26,3
"1391008",3262,53,16,2,0
"1391009",3263,1069,345,42,12
"1391010",3264,731,308,21,9
"1391011",3265,980,391,41,14
"1391012",3266,917,576,34,6
"1391013",3267,543,239,20,5
"1391014",3268,771,237,19,9
"1391015",3269,898,325,35,17
"1391016",3270,309,512,17,3
"1391017",3271,1019,394,34,13
"1391018",3272,502,540,19,9
"1391019",3273,794,280,24,11
"1391020",3274,550,237,14,7
"1391021",3275,524,153,15,3
"1391022",3276,815,329,34,8
"1391023",3277,0,0,0,0
"1391024",3278,771,267,22,16
"1391025",3279,1068,436,34,13
"1391026",3280,1113,346,38,15
"1391027",3281,657,123,15,8
"1391028",3282,895,199,18,10
"1391029",3283,195,74,10,2
"1391030",3284,655,312,18,5
"1391031",3285,196,152,9,5
"1391032",3286,1187,225,24,16
"1391033",3287,519,90,12,6
"1391034",3288,1303,258,44,13
"1391035",3289,696,179,25,7
"1391036",3290,1127,228,35,16
"1391037",3291,485,102,13,6
"1391038",3292,1118,187,31,9
"1391039",3293,1136,252,30,13
"1391040",3294,149,29,4,2
"1391041",3295,1182,234,26,6
"1391042",3296,101,16,1,1
"1391043",3297,1202,327,27,10
"1391044",3298,285,84,10,0
"1391045",3299,71,21,1,0
"1391046",3300,142,44,4,1
"1391047",3301,151,39,3,0
"1391048",3302,795,203,18,7
"1391049",3303,253,67,6,2
"1391050",3304,752,512,25,12
"1391051",3305,883,461,28,11
"1391052",3306,544,453,18,14
"1391053",3307,584,282,19,7
"1391054",3308,671,357,24,8
"1391055",3309,1311,365,22,8
"1391056",3310,934,236,25,5
"1391057",3311,755,246,24,9
"1391058",3312,395,131,14,5
"1391059",3313,261,68,6,1
"1410001",3314,230,489,21,10
"1410002",3315,197,543,30,18
"1410003",3316,358,516,16,15
"1410004",3317,300,484,18,6
"1410005",3318,394,458,17,9
"1410006",3319,613,299,12,12
"1410007",3320,803,639,27,25
"1410008",3321,1197,478,20,10
"1410009",3322,919,778,43,25
"1410010",3323,475,983,35,21
"1410011",3324,703,840,33,21
"1410012",3325,212,276,19,6
"1410013",3326,673,717,27,14
"1410014",3327,898,659,23,18
"1410015",3328,833,517,16,10
"1410016",3329,526,908,35,19
"1410017",3330,450,378,21,12
"1410018",3331,1062,730,30,18
"1410019",3332,676,809,38,18
"1410020",3333,291,295,18,7
"1410021",3334,753,503,32,12
"1410022",3335,609,668,40,20
"1410023",3336,444,282,16,6
"1410024",3337,1043,723,26,24
"1410025",3338,494,547,28,16
"1410026",3339,428,500,15,8
"1410027",3340,308,468,18,14
"1410028",3341,34,121,0,6
"1410029",3342,395,620,31,13
"1410030",3343,18,64,0,1
"1410031",3344,120,278,9,8
"1410032",3345,315,450,20,17
"1410033",3346,504,680,32,26
"1410034",3347,51,166,6,3
"1410035",3348,435,642,20,17
"1410036",3349,175,590,25,27
"1410037",3350,106,574,17,12
"1410038",3351,165,554,18,19
"1410039",3352,35,213,8,3
"1410040",3353,58,254,10,9
"1410041",3354,85,268,6,4
"1410042",3355,107,480,13,9
"1410043",3356,595,499,24,10
"1410044",3357,483,567,25,15
"1410045",3358,599,901,31,21
"1410046",3359,247,383,16,8
"1410047",3360,611,720,31,22
"1410048",3361,234,548,29,14
"1410049",3362,283,331,17,5
"1410050",3363,296,422,21,13
"1410051",3364,517,531,20,18
"1410052",3365,307,567,25,20
"1410053",3366,434,675,36,26
"1410054",3367,250,488,26,17
"1410055",3368,429,635,19,14
"1410056",3369,522,502,36,25
"1410057",3370,249,372,15,9
"1410058",3371,323,437,22,16
"1410059",3372,336,668,26,13
"1410060",3373,741,474,39,17
"1410061",3374,341,347,17,11
"1410062",3375,138,335,13,10
"1410063",3376,255,633,8,17
"1410064",3377,261,725,32,14
"1410065",3378,103,114,7,0
"1410066",3379,260,654,23,16
"1410067",3380,278,566,30,15
"1410068",3381,71,163,5,4
"1410069",3382,421,1044,38,15
"1410070",3383,284,786,33,17
"1410071",3384,263,620,22,11
"1410072",3385,132,400,11,9
"1410073",3386,127,359,12,12
"1410074",3387,178,600,20,7
"1410075",3388,275,447,16,5
"1410076",3389,163,428,12,5
"1410077",3390,221,564,19,9
"1410078",3391,155,406,10,7
"1410079",3392,38,204,4,3
"1410080",3393,74,455,8,4
"1410081",3394,37,117,3,1
"1410082",3395,178,595,23,9
"1410083",3396,101,377,9,5
"1410084",3397,157,678,8,10
"1410085",3398,123,530,9,5
"1410086",3399,32,34,2,2
"1410087",3400,1,0,0,0
"1410088",3401,222,141,14,4
"1410089",3402,357,877,29,14
"1410090",3403,437,528,24,8
"1410091",3404,163,300,10,10
"1410092",3405,705,783,21,21
"1410093",3406,301,450,20,11
"1410094",3407,477,742,20,17
"1410095",3408,534,748,23,15
"1410096",3409,711,871,23,15
"1410097",3410,380,519,10,15
"1410098",3411,546,512,20,10
"1410099",3412,186,385,13,5
"1410100",3413,513,795,29,11
"1410101",3414,495,697,29,15
"1410102",3415,360,667,27,13
"1410103",3416,518,487,12,5
"1410104",3417,582,706,28,16
"1410105",3418,492,800,24,15
"1410106",3419,404,837,22,17
"1410107",3420,389,594,15,9
"1410108",3421,585,475,16,10
"1410109",3422,349,470,11,8
