CNTYVTD,VTDKEY,AbbottR_22G_Governor,BarriosG_22G_Governor,O'RourkeD_22G_Governor,TippettsL_22G_Governor,Write-InW_22G_Governor
"2010215",4432,632,8,899,21,1
"2010216",4433,59,6,612,3,0
"2010217",4434,948,1,927,39,0
"2010218",4435,318,13,1021,12,0
"2010219",4436,88,4,1150,6,0
"2010220",4437,455,9,248,6,1
"2010221",4438,403,9,637,14,0
"2010222",4439,637,4,1368,17,1
"2010223",4440,255,1,1333,8,2
"2010224",4441,524,8,1025,18,2
"2010225",4442,179,0,343,6,1
"2010226",4443,213,5,569,10,0
"2010227",4444,677,1,458,20,0
"2010228",4445,38,4,599,7,0
"2010229",4446,90,1,153,2,0
"2010230",4447,26,1,255,3,0
"2010231",4448,190,6,489,6,0
"2010232",4449,524,7,713,17,0
"2010233",4450,508,4,1181,22,0
"2010234",4451,1812,9,1010,24,0
"2010235",4452,83,14,1315,9,0
"2010236",4453,33,8,473,1,0
"2010237",4454,23,11,537,5,0
"2010238",4455,45,3,466,4,0
"2010239",4456,38,2,506,4,0
"2010240",4457,47,5,729,7,1
"2010241",4458,280,7,409,9,0
"2010242",4459,240,8,281,10,1
"2010243",4460,10,2,246,4,0
"2010244",4461,686,8,829,15,1
"2010245",4462,983,7,645,20,0
"2010246",4463,1288,11,1021,22,0
"2010247",4464,25,4,443,2,0
"2010248",4465,154,4,280,9,0
"2010249",4466,690,5,394,13,0
"2010250",4467,152,4,355,5,0
"2010251",4468,155,8,775,11,0
"2010252",4469,33,1,675,2,0
"2010253",4470,39,5,537,6,0
"2010254",4471,82,7,216,5,0
"2010255",4472,530,3,1013,18,0
"2010256",4473,452,10,839,12,1
"2010257",4474,277,6,687,15,0
"2010258",4475,1455,6,765,31,1
"2010259",4476,37,3,868,8,0
"2010260",4477,317,0,394,6,0
"2010261",4478,156,6,267,3,0
"2010262",4479,988,11,1037,22,0
"2010263",4480,1621,7,963,35,0
"2010264",4481,626,5,640,21,1
"2010265",4482,1497,7,864,31,0
"2010266",4483,338,9,471,8,0
"2010267",4484,168,2,250,1,0
"2010268",4485,662,2,918,24,0
"2010269",4486,987,3,537,13,0
"2010270",4487,868,3,1102,24,0
"2010271",4488,58,10,1177,5,0
"2010272",4489,235,1,537,10,0
"2010273",4490,1178,3,477,18,0
"2010274",4491,783,5,569,14,0
"2010275",4492,111,5,383,9,0
"2010276",4493,29,2,709,4,0
"2010277",4494,246,2,371,6,0
"2010278",4495,485,10,553,7,1
"2010279",4496,318,2,248,5,0
"2010280",4497,156,4,281,6,0
"2010281",4498,558,3,1032,19,0
"2010282",4499,624,6,540,18,0
"2010283",4500,192,6,701,9,0
"2010284",4501,512,4,872,11,0
"2010285",4502,109,2,829,3,0
"2010286",4503,188,5,1294,8,0
"2010287",4504,422,7,744,18,0
"2010288",4505,32,5,694,2,0
"2010289",4506,236,2,323,4,0
"2010290",4507,501,6,167,8,0
"2010291",4508,240,0,447,8,0
"2010292",4509,85,4,378,1,0
"2010293",4510,277,2,582,7,0
"2010294",4511,25,3,608,4,0
"2010295",4512,11,1,244,1,0
"2010296",4513,386,5,402,10,1
"2010297",4514,238,5,395,5,0
"2010298",4515,480,5,568,11,0
"2010299",4516,196,4,391,13,0
"2010300",4517,1305,4,599,23,0
"2010301",4518,274,3,400,6,0
"2010302",4519,630,7,500,8,0
"2010303",4520,1634,4,711,20,1
"2010304",4521,615,7,772,24,1
"2010305",4522,540,13,933,13,0
"2010306",4523,709,0,551,16,1
"2010307",4524,1136,4,687,29,0
"2010308",4525,144,2,405,6,0
"2010309",4526,1654,5,912,26,0
"2010310",4527,500,7,374,16,0
"2010311",4528,490,5,474,13,1
"2010312",4529,685,10,766,19,0
"2010313",4530,11,0,5,0,0
"2010314",4531,673,3,546,12,0
"2010315",4532,513,1,591,11,0
"2010316",4533,384,1,590,17,0
"2010317",4534,95,2,327,5,0
"2010318",4535,135,10,1388,10,0
"2010319",4536,70,6,738,7,0
"2010320",4537,231,2,271,4,0
"2010321",4538,241,5,390,5,0
"2010322",4539,102,2,260,0,0
"2010323",4540,280,4,553,9,0
"2010324",4541,864,4,882,16,0
"2010325",4542,170,3,580,6,0
"2010326",4543,105,3,174,2,0
"2010327",4544,58,2,553,8,0
"2010328",4545,148,4,287,4,0
"2010329",4546,206,5,414,3,0
"2010330",4547,489,5,871,19,0
"2010331",4548,1145,2,1076,22,0
"2010332",4549,232,8,1217,9,0
"2010333",4550,1303,5,651,28,0
"2010334",4551,26,1,179,0,0
"2010335",4552,130,0,305,5,0
"2010336",4553,265,11,2136,14,0
"2010337",4554,49,1,267,2,0
"2010338",4555,524,15,879,15,0
"2010339",4556,168,6,596,6,2
"2010340",4557,1165,8,583,18,0
"2010341",4558,121,4,283,3,0
"2010342",4559,78,3,260,2,0
"2010343",4560,195,6,574,6,0
"2010344",4561,32,7,321,1,0
"2010345",4562,136,3,455,7,0
"2010346",4563,0,0,0,0,0
"2010347",4564,845,8,662,19,0
"2010348",4565,526,4,301,7,0
"2010349",4566,336,2,277,21,0
"2010350",4567,370,4,1181,14,1
"2010351",4568,1472,5,585,22,1
"2010352",4569,1682,13,679,32,0
"2010353",4570,334,13,1177,12,0
"2010354",4571,388,8,967,6,0
"2010355",4572,87,3,747,4,0
"2010356",4573,824,3,875,23,0
"2010357",4574,1343,4,652,30,0
"2010358",4575,61,3,301,4,0
"2010359",4576,122,5,577,6,0
"2010360",4577,704,6,1371,21,0
"2010361",4578,46,2,850,3,0
"2010362",4579,1774,9,966,32,0
"2010363",4580,512,6,837,16,0
"2010364",4581,390,3,552,13,0
"2010365",4582,95,3,716,9,0
"2010366",4583,371,15,1063,7,0
"2010367",4584,147,3,529,8,0
"2010368",4585,111,0,254,1,0
"2010369",4586,42,1,171,1,0
"2010370",4587,1060,6,476,20,0
"2010371",4588,9,2,160,1,0
"2010372",4589,80,2,449,2,0
"2010373",4590,7,0,41,0,0
"2010374",4591,80,0,139,3,0
"2010375",4592,315,7,445,11,0
"2010376",4593,250,4,250,5,0
"2010377",4594,201,3,84,4,0
"2010378",4595,621,2,478,20,0
"2010379",4596,111,4,685,4,0
"2010380",4597,1077,11,1482,26,0
"2010381",4598,301,6,674,2,0
"2010382",4599,333,1,226,8,0
"2010383",4600,306,5,532,4,0
"2010384",4601,357,3,871,6,0
"2010385",4602,995,3,452,19,0
"2010386",4603,718,1,199,6,0
"2010387",4604,1372,11,589,15,0
"2010388",4605,383,3,888,8,0
"2010389",4606,28,4,621,4,0
"2010390",4607,105,3,923,6,0
"2010391",4608,431,4,433,14,1
"2010392",4609,18,0,470,2,0
"2010393",4610,212,3,316,9,0
"2010394",4611,95,2,132,3,0
"2010395",4612,673,1,502,15,1
"2010396",4613,56,7,814,4,0
"2010397",4614,79,4,140,3,0
"2010398",4615,704,9,1022,17,3
"2010399",4616,405,3,838,12,0
"2010400",4617,0,0,0,1,0
"2010401",4618,71,2,551,3,0
"2010402",4619,109,6,1073,7,0
"2010403",4620,451,5,714,17,0
"2010404",4621,495,7,445,11,0
"2010405",4622,1742,8,691,21,0
"2010406",4623,8,3,165,2,0
"2010407",4624,1107,12,1049,30,0
"2010408",4625,136,3,220,1,0
"2010409",4626,212,8,313,8,0
"2010410",4627,69,1,266,0,0
"2010411",4628,243,5,477,7,0
"2010412",4629,12,0,125,1,0
"2010413",4630,501,4,872,10,0
"2010414",4631,1027,7,374,14,0
"2010415",4632,670,3,423,9,0
"2010416",4633,561,3,848,20,0
"2010417",4634,222,1,262,6,0
"2010418",4635,485,7,774,10,0
"2010419",4636,609,5,499,8,0
"2010420",4637,2232,5,567,24,0
"2010421",4638,569,1,755,19,0
"2010422",4639,98,15,1193,7,0
"2010423",4640,110,3,265,3,0
"2010424",4641,360,1,362,9,0
"2010425",4642,113,3,233,3,0
"2010426",4643,261,0,261,7,0
"2010427",4644,161,3,285,4,0
"2010428",4645,313,5,475,3,0
"2010429",4646,275,7,626,9,1
"2010430",4647,108,3,276,5,0
"2010431",4648,275,6,712,13,1
"2010432",4649,130,2,272,5,0
"2010433",4650,52,0,114,1,0
"2010434",4651,476,3,555,10,0
"2010435",4652,1143,5,1002,26,1
"2010436",4653,955,6,1222,22,1
"2010437",4654,832,3,657,20,3
"2010438",4655,1546,2,852,35,0
"2010439",4656,1383,8,1044,23,0
"2010440",4657,1394,5,587,24,0
"2010441",4658,678,3,381,18,0
"2010442",4659,1913,5,726,55,0
"2010443",4660,264,0,177,10,0
"2010444",4661,793,6,797,24,0
"2010445",4662,612,4,543,19,0
"2010446",4663,32,3,54,0,0
"2010447",4664,1221,10,1663,29,0
"2010448",4665,1011,8,1213,27,1
"2010449",4666,0,0,0,0,0
"2010450",4667,294,6,702,19,0
"2010451",4668,1278,5,470,20,0
"2010452",4669,778,4,640,14,0
"2010453",4670,149,1,422,7,0
"2010454",4671,40,4,721,3,0
"2010455",4672,29,1,376,2,0
"2010456",4673,774,6,683,19,1
"2010457",4674,0,0,0,0,0
"2010458",4675,73,3,743,3,0
"2010459",4676,1592,4,772,27,0
"2010460",4677,410,5,1159,9,0
"2010461",4678,1479,3,1279,28,0
"2010462",4679,493,5,1033,22,3
"2010463",4680,211,5,496,5,0
"2010464",4681,666,9,542,15,0
"2010465",4682,594,8,994,23,0
"2010466",4683,1006,4,1143,9,0
"2010467",4684,120,4,397,4,1
"2010468",4685,455,10,1036,7,0
"2010469",4686,1397,3,544,17,0
"2010470",4687,432,2,160,7,0
"2010471",4688,991,5,287,12,0
"2010472",4689,205,3,492,9,0
"2010473",4690,622,5,496,18,2
"2010474",4691,319,2,258,8,0
"2010475",4692,208,3,236,9,2
"2010476",4693,225,3,274,7,0
"2010477",4694,1430,11,855,26,0
"2010478",4695,984,5,817,22,0
"2010479",4696,1451,5,734,34,0
"2010480",4697,912,6,522,20,1
"2010481",4698,1325,8,641,28,0
"2010482",4699,1272,13,783,28,0
"2010483",4700,953,8,1214,25,0
"2010484",4701,1083,8,864,24,2
"2010485",4702,1373,10,710,29,0
"2010486",4703,1830,6,819,33,1
"2010487",4704,460,6,695,9,0
"2010488",4705,245,2,470,6,0
"2010489",4706,239,2,635,7,1
"2010490",4707,329,3,775,14,0
"2010491",4708,492,2,724,16,0
"2010492",4709,531,3,586,9,0
"2010493",4710,587,4,863,15,0
"2010494",4711,185,10,855,10,0
"2010495",4712,927,6,605,19,0
"2010496",4713,301,3,529,5,1
"2010497",4714,37,0,141,0,0
"2010498",4715,288,3,486,9,0
"2010499",4716,991,3,603,16,0
"2010500",4717,1088,4,845,26,0
"2010501",4718,426,3,1092,29,0
"2010502",4719,1093,3,228,13,0
"2010503",4720,1075,2,493,20,0
"2010504",4721,802,1,698,14,0
"2010505",4722,685,7,1219,36,0
"2010506",4723,298,6,1356,13,0
"2010507",4724,176,3,267,4,0
"2010508",4725,613,10,922,13,0
"2010509",4726,289,3,343,1,0
"2010510",4727,627,7,1059,22,1
"2010511",4728,1137,2,854,16,1
"2010512",4729,695,9,1145,17,1
"2010513",4730,1140,2,699,23,1
"2010514",4731,1330,8,842,27,0
"2010515",4732,1367,2,543,22,0
"2010516",4733,572,5,602,7,0
"2010517",4734,517,3,601,15,1
"2010518",4735,1099,8,934,30,0
"2010519",4736,850,9,533,15,0
"2010520",4737,0,0,36,0,0
"2010521",4738,555,8,715,11,0
"2010522",4739,1334,4,671,14,1
"2010523",4740,803,7,762,25,0
"2010524",4741,459,4,975,9,0
"2010525",4742,348,8,1059,14,0
"2010526",4743,73,3,185,1,0
"2010527",4744,66,0,71,1,0
"2010528",4745,106,5,513,5,0
"2010529",4746,1828,5,457,30,0
"2010530",4747,90,2,233,3,0
"2010531",4748,932,2,283,11,1
"2010532",4749,253,3,151,7,0
"2010533",4750,174,1,172,4,0
"2010534",4751,498,1,253,10,0
"2010535",4752,43,1,66,1,0
"2010536",4753,596,10,827,13,1
"2010537",4754,1384,3,588,17,0
"2010538",4755,32,6,671,5,0
"2010539",4756,405,4,499,9,0
"2010540",4757,322,3,1142,14,0
"2010541",4758,39,12,484,1,0
"2010542",4759,85,7,875,5,0
"2010543",4760,182,7,377,2,0
"2010544",4761,10,1,71,0,0
"2010545",4762,520,0,528,10,0
"2010546",4763,1210,4,369,17,0
"2010547",4764,784,10,451,17,0
"2010548",4765,430,9,564,4,0
"2010549",4766,154,11,870,5,0
"2010550",4767,390,5,631,16,0
"2010551",4768,1260,4,598,27,0
"2010552",4769,1840,5,659,25,0
"2010553",4770,455,5,760,5,1
"2010554",4771,107,2,447,1,0
"2010555",4772,128,7,483,6,0
"2010556",4773,209,4,460,10,0
"2010557",4774,361,6,532,7,0
"2010558",4775,178,2,378,6,0
"2010559",4776,366,10,1213,16,0
"2010560",4777,85,5,251,4,1
"2010561",4778,787,4,543,20,0
"2010562",4779,33,2,170,1,0
"2010563",4780,1352,4,616,27,0
"2010564",4781,242,7,1295,9,0
"2010565",4782,75,3,201,2,0
"2010566",4783,297,2,768,7,0
"2010567",4784,266,7,608,8,0
"2010568",4785,1156,7,1014,32,2
"2010569",4786,818,6,1357,26,1
"2010570",4787,189,2,537,6,1
"2010571",4788,140,4,233,4,0
"2010572",4789,498,8,916,19,0
"2010573",4790,19,3,428,2,0
"2010574",4791,37,1,97,1,0
"2010575",4792,948,7,968,21,0
"2010576",4793,135,4,989,6,0
"2010577",4794,594,11,584,13,0
"2010578",4795,647,1,737,15,0
"2010579",4796,63,2,256,5,0
"2010580",4797,24,0,271,1,0
"2010581",4798,21,5,336,2,0
"2010582",4799,66,8,448,4,0
"2010583",4800,24,1,321,3,0
"2010584",4801,55,6,1001,6,0
"2010585",4802,67,5,592,4,0
"2010586",4803,644,7,613,15,0
"2010587",4804,417,4,962,8,0
"2010588",4805,1163,10,977,15,0
"2010589",4806,481,8,563,14,0
"2010590",4807,949,3,431,19,0
"2010591",4808,212,8,451,6,0
"2010592",4809,286,7,587,3,0
"2010593",4810,848,9,969,25,2
"2010594",4811,206,3,622,9,0
"2010595",4812,104,5,514,5,0
"2010596",4813,597,10,921,24,0
"2010597",4814,470,5,612,6,0
"2010598",4815,338,6,607,9,0
"2010599",4816,200,1,162,3,1
"2010600",4817,644,9,1055,21,1
"2010601",4818,1537,6,866,31,0
"2010602",4819,596,1,340,7,0
"2010603",4820,719,6,671,16,0
"2010604",4821,1643,3,307,24,1
"2010605",4822,210,7,572,7,0
"2010606",4823,15,1,234,1,0
"2010607",4824,35,3,307,3,0
"2010608",4825,99,3,154,1,0
"2010609",4826,1108,4,934,19,0
"2010610",4827,408,11,543,12,0
"2010611",4828,45,2,688,4,0
"2010612",4829,1332,6,631,20,0
"2010613",4830,209,1,716,3,0
"2010614",4831,398,5,995,6,0
"2010615",4832,542,3,682,15,0
"2010616",4833,1008,6,745,33,1
"2010617",4834,529,10,1080,12,0
"2010618",4835,631,12,986,15,0
"2010619",4836,1873,4,1044,41,0
"2010620",4837,831,7,894,17,1
"2010621",4838,216,3,364,1,0
"2010622",4839,1163,7,1071,26,0
"2010623",4840,1102,6,932,19,0
"2010624",4841,691,2,445,13,0
"2010625",4842,651,10,1034,13,0
"2010626",4843,1121,8,1262,33,2
"2010627",4844,326,5,614,10,0
"2010628",4845,306,5,486,10,0
"2010629",4846,15,0,84,1,0
"2010630",4847,215,13,2230,21,0
"2010631",4848,972,7,666,14,0
"2010632",4849,12,0,1,0,0
"2010633",4850,1447,7,971,29,0
"2010634",4851,707,2,683,21,2
"2010635",4852,1111,2,574,20,0
"2010636",4853,1029,5,148,16,0
"2010637",4854,327,11,945,16,0
"2010638",4855,91,5,661,4,0
"2010639",4856,927,6,315,22,0
"2010640",4857,1051,7,910,19,0
"2010641",4858,951,5,713,15,0
"2010642",4859,744,4,335,8,0
"2010643",4860,831,8,982,11,0
"2010644",4861,1189,6,1025,25,0
"2010645",4862,308,2,767,10,0
"2010646",4863,373,6,583,4,0
"2010647",4864,581,15,860,7,0
"2010648",4865,1147,5,755,19,1
"2010649",4866,546,7,1124,8,0
"2010650",4867,1341,3,866,19,0
"2010651",4868,719,7,747,13,0
"2010652",4869,271,2,1044,3,0
"2010653",4870,33,2,142,2,0
"2010654",4871,546,4,607,12,0
"2010655",4872,991,13,1023,21,0
"2010656",4873,31,0,55,2,0
"2010657",4874,317,2,520,8,0
"2010658",4875,821,5,593,18,0
"2010659",4876,1179,6,616,16,0
"2010660",4877,206,6,1277,12,0
"2010661",4878,844,7,918,28,0
"2010662",4879,862,4,291,20,0
"2010663",4880,183,1,306,8,0
"2010664",4881,212,8,641,9,0
"2010665",4882,1189,6,330,19,0
"2010666",4883,0,0,0,0,0
"2010667",4884,761,2,459,20,0
"2010668",4885,1084,2,948,26,0
"2010669",4886,1112,4,785,23,0
"2010670",4887,1491,4,543,29,1
"2010671",4888,745,13,817,19,0
"2010672",4889,1168,6,685,19,1
"2010673",4890,1222,5,358,22,2
"2010674",4891,1626,12,891,25,1
"2010675a",4892,1115,7,407,21,0
"2010675b",4893,0,0,0,0,0
"2010676",4894,449,4,651,6,0
"2010677",4895,107,1,300,2,0
"2010678",4896,108,5,738,3,0
"2010679",4897,386,1,198,3,0
"2010680",4898,14,0,89,1,0
"2010681",4899,16,0,51,0,0
"2010682",4900,1062,3,498,23,0
"2010683",4901,28,4,54,0,0
"2010684",4902,1179,9,845,28,0
"2010685",4903,54,1,64,2,0
"2010686",4904,19,0,34,1,0
"2010687",4905,1017,3,717,21,0
"2010688",4906,2002,4,832,29,0
"2010689",4907,436,6,567,12,0
"2010690",4908,1599,6,756,19,2
"2010691",4909,1824,7,745,28,1
"2010692",4910,1196,10,604,25,0
"2010693",4911,79,0,273,2,0
"2010694",4912,286,7,419,3,1
"2010695",4913,389,3,262,6,0
"2010696",4914,456,3,315,6,0
"2010697",4915,298,6,767,7,0
"2010698",4916,64,2,480,3,0
"2010699",4917,762,5,626,16,0
"2010700",4918,1206,3,191,9,0
"2010701",4919,103,0,129,2,0
"2010702",4920,38,3,155,1,0
"2010703",4921,1167,5,663,22,0
"2010704",4922,1338,4,387,14,0
"2010705",4923,36,3,157,6,0
"2010706",4924,488,6,775,10,0
"2010707",4925,296,1,197,4,0
"2010708",4926,47,3,103,2,0
"2010709",4927,1087,7,1219,18,1
"2010710",4928,711,5,1033,23,0
"2010711",4929,961,11,1324,15,0
"2010712",4930,630,16,1127,10,0
"2010713",4931,348,3,453,12,0
"2010714",4932,51,0,55,0,0
"2010715",4933,64,2,136,0,0
"2010716",4934,827,6,422,11,0
"2010717",4935,126,6,674,5,0
"2010718",4936,1230,5,1002,37,2
"2010719",4937,296,5,251,12,0
"2010720",4938,781,1,422,17,0
"2010721",4939,948,5,825,25,0
"2010722",4940,144,10,1436,10,0
"2010723",4941,244,2,932,8,0
"2010724",4942,392,0,319,3,0
"2010725",4943,381,4,517,9,0
"2010726",4944,997,3,171,10,0
"2010727",4945,92,3,274,4,0
"2010728",4946,218,1,204,13,0
"2010729",4947,89,0,132,6,0
"2010730",4948,838,8,626,18,0
"2010731",4949,407,4,625,7,0
"2010732",4950,542,7,474,26,0
"2010733",4951,20,0,46,0,0
"2010734",4952,883,4,548,23,2
"2010735",4953,1068,7,620,13,0
"2010736",4954,458,1,1016,21,0
"2010737",4955,13,0,5,0,0
"2010738",4956,12,1,144,4,0
"2010739",4957,300,6,407,6,0
"2010740",4958,120,0,51,4,0
"2010741",4959,293,5,534,2,0
"2010742",4960,413,1,289,6,0
"2010743",4961,24,0,27,0,0
"2010744",4962,601,3,563,26,0
"2010745",4963,720,4,627,21,0
"2010746",4964,129,2,174,4,0
"2010747",4965,557,11,885,8,0
"2010748",4966,281,5,407,12,0
"2010749",4967,26,1,67,2,0
"2010750",4968,164,3,148,0,0
"2010751",4969,551,4,546,9,0
"2010752",4970,456,7,218,11,0
"2010753",4971,75,1,151,0,0
"2010754",4972,30,5,264,3,0
"2010755",4973,423,11,615,8,1
"2010756",4974,208,2,495,5,0
"2010757",4975,223,8,1134,7,0
"2010758",4976,2067,4,846,33,0
"2010759",4977,563,4,543,11,0
"2010760",4978,1241,3,428,23,0
"2010761",4979,758,2,412,18,2
"2010762",4980,430,2,485,13,0
"2010763",4981,138,3,252,4,1
"2010764",4982,602,3,642,13,1
"2010765",4983,447,6,753,14,0
"2010766",4984,36,0,95,0,0
"2010767",4985,13,0,17,0,0
"2010768",4986,1104,8,489,17,0
"2010769",4987,6,0,54,1,0
"2010770",4988,27,0,68,0,0
"2010771",4989,195,2,280,10,0
"2010772",4990,1816,5,994,33,0
"2010773",4991,380,0,679,3,0
"2010774",4992,46,2,137,2,0
"2010775",4993,635,6,1119,28,0
"2010776",4994,718,10,667,15,0
"2010777",4995,57,0,81,0,0
"2010778",4996,26,1,73,2,0
"2010779",4997,80,4,134,2,0
"2010780",4998,77,3,103,0,0
"2010781",4999,476,10,671,9,0
"2010782",5000,660,7,550,15,1
"2010783",5001,43,0,251,1,0
"2010784",5002,16,1,282,2,0
"2010785",5003,612,5,861,14,0
"2010786",5004,114,0,225,0,0
"2010787",5005,53,3,108,2,0
"2010788",5006,85,1,82,2,0
"2010789",5007,777,3,666,12,0
"2010790",5008,549,7,847,15,0
"2010791",5009,1,0,0,0,0
"2010792",5010,170,2,481,6,0
"2010793",5011,489,7,443,15,0
"2010794",5012,13,2,84,1,0
"2010795",5013,121,1,222,2,2
"2010796",5014,588,4,794,15,0
"2010797",5015,0,0,0,0,0
"2010798",5016,103,1,192,4,0
"2010799",5017,87,3,410,4,0
"2010800",5018,1045,5,876,21,1
"2010801",5019,52,3,73,1,0
"2010802",5020,0,0,0,0,0
"2010803",5021,1552,5,1121,25,1
"2010804",5022,1130,16,1377,14,0
"2010805",5023,1214,5,484,20,1
"2010806",5024,989,1,639,17,2
"2010807",5025,92,9,441,5,0
"2010808",5026,3,0,0,0,0
"2010809",5027,19,0,12,1,0
"2010810",5028,10,0,27,0,0
"2010811",5029,28,1,75,0,0
"2010812",5030,0,0,0,0,0
"2010813",5031,686,5,1005,13,0
"2010814",5032,176,1,524,4,0
"2010815",5033,0,0,0,0,0
"2010816",5034,6,1,4,0,0
"2010817",5035,681,6,427,15,0
"2010818",5036,54,3,112,0,0
"2010819",5037,40,0,53,1,0
"2010820",5038,238,3,283,3,0
"2010821",5039,50,1,235,4,1
"2010822",5040,32,4,442,0,0
"2010823",5041,681,10,666,16,0
"2010824",5042,168,8,600,11,0
"2010825",5043,700,3,722,12,0
"2010826",5044,82,2,175,1,0
"2010827",5045,81,1,113,0,0
"2010828",5046,888,5,372,19,1
"2010829",5047,21,0,26,1,0
"2010830",5048,14,0,63,1,0
"2010831",5049,3,0,4,0,0
"2010832",5050,39,0,77,1,0
"2010833",5051,0,0,0,0,0
"2010834",5052,9,3,38,2,0
"2010835",5053,26,1,69,0,0
"2010836",5054,9,3,90,0,0
"2010837",5055,14,0,51,1,0
"2010838",5056,0,0,0,0,0
"2010839",5057,89,3,307,3,0
"2010840",5058,245,7,505,10,0
"2010841",5059,389,4,1115,13,0
"2010842",5060,303,5,484,8,0
"2010843",5061,126,0,533,6,0
"2010844",5062,1614,4,584,28,0
"2010845",5063,80,2,57,3,1
"2010846",5064,14,0,95,0,0
"2010847",5065,229,7,769,8,0
"2010848",5066,242,4,676,9,0
"2010849",5067,325,5,543,4,0
"2010850",5068,38,0,89,2,0
"2010851",5069,1228,13,832,27,0
"2010852",5070,1008,5,432,18,0
"2010853",5071,1103,6,507,32,0
"2010854",5072,13,0,41,2,0
"2010855",5073,244,11,603,9,0
"2010856",5074,0,0,0,0,0
"2010857",5075,0,0,0,0,0
"2010858",5076,6,0,140,1,0
"2010859",5077,106,3,279,3,0
"2010860",5078,704,2,552,20,0
"2010861",5079,143,2,606,7,0
"2010862",5080,1095,0,949,23,0
"2010863",5081,21,1,166,1,0
"2010864",5082,222,8,561,5,0
"2010865",5083,403,2,731,17,0
"2010866",5084,0,0,0,0,0
"2010867",5085,93,4,385,3,0
"2010868",5086,187,1,395,5,0
"2010869",5087,14,0,77,1,0
"2010870",5088,0,0,0,0,0
"2010871",5089,24,0,10,0,0
"2010872",5090,139,2,73,0,0
"2010873",5091,80,2,239,5,0
"2010874",5092,1193,0,679,16,0
"2010875",5093,796,7,918,30,1
"2010876",5094,685,4,479,21,0
"2010877",5095,337,7,669,7,0
"2010878",5096,688,4,330,10,0
"2010879",5097,493,6,676,3,0
"2010880",5098,1196,4,583,20,0
"2010881",5099,352,5,699,8,1
"2010882",5100,496,4,887,8,0
"2010883",5101,180,5,795,6,0
"2010884",5102,41,1,122,0,0
"2010885",5103,876,11,919,12,0
"2010886",5104,180,1,372,7,0
"2010887",5105,78,0,164,4,0
"2010888",5106,277,8,750,6,0
"2010889",5107,9,0,78,1,0
"2010890",5108,302,3,534,12,0
"2010891",5109,247,1,543,7,1
"2010892",5110,145,2,530,8,1
"2010893",5111,409,3,646,2,0
"2010894",5112,134,7,788,7,0
"2010895",5113,166,3,418,4,0
"2010896",5114,266,2,820,11,0
"2010897",5115,402,6,531,9,0
"2010898",5116,267,5,469,14,0
"2010899",5117,412,2,345,10,0
"2010900",5118,4,0,6,0,0
"2010901",5119,620,8,990,10,0
"2010902",5120,811,4,1216,36,2
"2010903",5121,1196,2,456,14,0
"2010904",5122,0,0,0,0,0
"2010905",5123,138,5,182,2,0
"2010906",5124,1368,5,918,24,1
"2010907",5125,12,0,58,0,0
"2010908",5126,0,0,0,0,0
"2010909",5127,903,3,500,11,1
"2010910",5128,25,2,40,1,0
"2010911",5129,144,1,74,0,0
"2010912",5130,408,3,339,8,0
"2010913",5131,23,0,84,0,0
"2010914",5132,11,0,16,2,0
"2010915",5133,834,3,452,20,0
"2010916",5134,1657,6,751,31,0
"2010917",5135,0,0,0,0,0
"2010918",5136,3,0,3,0,0
"2010919",5137,916,4,1306,27,1
"2010920",5138,36,0,26,1,0
"2010921",5139,130,0,37,0,0
"2010922",5140,0,0,0,0,0
"2010923",5141,1667,4,749,29,0
"2010924",5142,0,0,0,0,0
"2010925",5143,0,0,0,0,0
"2010926",5144,778,2,543,14,0
"2010927",5145,967,5,1460,49,0
"2010928",5146,13,0,16,1,0
"2010929",5147,0,0,0,0,0
"2010930",5148,20,1,155,0,1
"2010931",5149,27,0,42,3,0
"2010932",5150,0,0,0,0,0
"2010933",5151,113,0,335,7,0
"2010934",5152,5,0,11,0,0
"2010935",5153,305,3,565,6,0
"2010936",5154,9,0,33,1,0
"2010937",5155,494,8,946,23,0
"2010938",5156,14,1,49,0,0
"2010939",5157,0,0,0,0,0
"2010940",5158,0,0,6,0,0
"2010941",5159,154,0,227,4,0
"2010942",5160,30,2,54,0,0
"2010943",5161,53,3,88,1,0
"2010944",5162,3,0,9,0,0
"2010945",5163,0,0,7,0,0
"2010946",5164,144,1,187,5,0
"2010947",5165,188,3,354,8,0
"2010948",5166,214,0,133,1,0
"2010949",5167,151,4,413,4,0
"2010950",5168,0,0,0,0,0
"2010951",5169,32,1,98,1,0
"2010952",5170,16,2,63,2,0
"2010953",5171,109,2,117,3,0
"2010954",5172,12,1,76,2,0
"2010955",5173,1063,4,588,20,0
"2010956",5174,189,9,778,4,0
"2010957",5175,38,1,201,1,0
"2010958",5176,155,7,584,5,0
"2010959",5177,0,0,0,0,0
"2010960",5178,155,5,720,2,0
"2010961",5179,127,6,378,4,0
"2010962",5180,8,1,32,0,0
"2010963",5181,144,2,216,4,0
"2010964",5182,531,6,686,17,0
"2010965",5183,73,0,28,1,0
"2010966",5184,121,6,222,1,0
"2010967",5185,104,5,480,4,0
"2010968",5186,280,6,1342,8,0
"2010969",5187,7,3,261,2,0
"2010970",5188,23,3,162,1,0
"2010971",5189,60,2,140,0,0
"2010972",5190,1218,5,557,24,1
"2010973",5191,382,4,312,11,0
"2010974",5192,186,2,468,1,0
"2010975",5193,51,0,74,0,0
