06/30/2022,Office of the Secretary of State,,,Generated By: 
,,,ED-SUGAR LAND BRANCH LIBRARY-MEETING ROOM,90973
,,,ED-THOMPSONS CITY HALL-COMMUNITY CENTER,90979
,,,ED-TOMPKINS H. S.-MAIN BUILDING,90981
,,,ED-TOWNEWEST TOWNE HALL-MAIN BUILDING,90986
,,,ED-TRAVIS ELEM.-SCHOOL HALLWAY,90987
,,,ED-UNIVERSITY BRANCH LIBRARY-MEETING ROOM 2,90988
,,,EV-BEASLEY CITY HALL-CITY HALL BACK BOARDROOM,90997
,,,EV-BOWIE MIDDLE-WEST ENTRANCE HALL,90998
,,,EV-CINCO RANCH BRANCH LIBRARY-MULTIPURPOSE ROOM,91000
,,,EV-HIGHTOWER H. S.-FOYER,91006
,,,EV-MEADOWS PLACE CITY HALL-COUNCIL CHAMBERS OR LOBBY,91026
,,,EV-MISSOURI CITY VISITORS CENTER-COMMUNITY CENTER AUDITORIUM,91027
,,,EV-ROSENBERG ANNEX BUILDING-MEETING ROOM,91037
,,,EV-SIENNA ANNEX-COMMUNITY ROOM,91042
,,,EV-STAFFORD CITY HALL-LARGE CONFERENCE ROOM,91043
,,,EV-SUGAR LAND BRANCH LIBRARY-SMALL CONFERENCE ROOM,91045
,,,ED-RICHMOND WATER MNT. FACILITY-1ST ROOM TO THE RIGHT,90954
,,,EV-REESE TECHNICAL CENTER-MAIN BUILDING,91033
,,,ED-RIDGEGATE COMMUNITY ASS'N-MAIN BUILDING,90956
,,,ED-SEVEN LAKES H. S.-MAIN BUILDING,90968
,,,ED-SUGAR LAND CHURCH OF GOD-FELLOWSHIP HALL,90974
,,,ED-RIDGEMONT EARLY CHILDHOOD CTR-EXTENDED DAY ROOM,90957
,,,EV-CHASEWOOD CLUBHOUSE-LEVEL 1 (CLUBHOUSE FACILITY),90999
,,,ED-SIENNA ANNEX-COMMUNITY ROOM,90969
,,,ED-STAFFORD CITY HALL-LARGE CONFERENCE ROOM,90970
,,,EV-ROAD AND BRIDGE (NEEDVILLE)-MEETING ROOM,91036
,,,EV-SUGAR LAND CITY HALL-BRAZOS ROOM,91046
,,,ED-SUGAR LAND CITY HALL-BRAZOS ROOM,90975
,,,ED-TAMARRON CLUBHOUSE-CLUBHOUSE,90976
,,,EV-TOMPKINS H. S.-MAIN BUILDING,91049
,,,EV-CLAYTON OAKS ASSISTED LIVING-ACTIVITY ROOM,91001
,,,EV-JACKS CONFERENCE CENTER-MAIN ROOM,91008
,,,EV-FOUR CORNERS COMMUNITY CENTER-MAIN BLDG,91004
,,,EV-IRENE STERN COMMUNITY CENTER-COMMUNITY CENTER,91007
,,,EV-KROGER RIVERSTONE-COMMUNITY ROOM,91022
,,,EV-LOST CREEK CONFERENCE CENTER-MEETING ROOM,91024
,,,EV-QUAIL VALLEY FUND OFFICE-BOARD ROOM,91032
,,,EV-SARTARTIA MIDDLE SCHOOL-MAIN BUILDING,91040
,,,ED-PIONEER CONFERENCE CENTER-MAIN ROOM,94323
,,,ED-SEVEN MEADOWS CLUBHOUSE-MAIN ROOM,94561
,,,EV-PIONEER CONFERENCE CENTER-MAIN BUILDING,94322
