06/01/2022,Office of the Secretary of State,,,Generated By: 
,,,JONSSON CENTRAL LIBRARY-DALLAS EAST ROOM,93353
,,,WEST MAIN ELEMENTARY SCHOOL-LIBRARY,93368
,,,WILMER-HUTCHINS HIGH SCHOOL-AUDITORIUM FOYER,93372
,,,DANIEL WEBSTER ELEMENTARY SCHOOL-AUDITORIUM,93374
,,,EXALL PARK RECREATION CENTER-LARGE ROOM,93375
,,,BILL J PRIEST CTR-DALLAS COLLEGE-ROOM #1530,93376
,,,OUR REDEEMER LUTHERAN CHURCH-PARLOR,93417
,,,ROWLETT CITY HALL ANNEX-CONFERENCE ROOM,93422
,,,SKYLINE BRANCH LIBRARY-AUDITORIUM,93425
,,,UNIVERSITY PARK UMC-CALDWELL RM 120,93430
,,,NORTH PARK COMMUNITY CORP-MAIN ENTRANCE,93778
,,,ROBERT T HILL MIDDLE SCHOOL-LIBRARY,93853
,,,"THE CHURCH AT JUNIUS HEIGHTS-MILTON GREER,  FELLOWSHIP HALL",92965
,,,RUTHERFORD RECREATION CENTER-ROOM #100,93090
,,,WATSON TECHNOLOGY CENTER-GYM,93094
,,,FOREST MEADOW JUNIOR HIGH SCHOOL-MAIN ENTRY,92887
,,,THE WAY-TRUTH-LIFE CHRISTIAN CH-FELLOWSHIP HALL PARLOR,92937
,,,MONTCLAIR ELEMENTARY SCHOOL-GYM,93100
,,,FRETZ PARK LIBRARY-BLACK BOX THEATER,93399
,,,FRIENDSHIP WEST BAPTIST CHURCH-BANQUET  HALL FOYER,93400
,,,GEORGE L ALLEN SR COURT BUILDING-FRONT FOYER,93401
,,,JOSEY RANCH LAKE LIBRARY-MEETING RM,93406
,,,MOUNTAIN CREEK LIBRARY-AUDITORIUM,93413
,,,"CORNERSTONE COMMUNITY CHURCH-BLDG B, ROOM 1",93006
,,,W A BLAIR ELEMENTARY SCHOOL-LIBRARY,93022
,,,DUNCANVILLE HIGH SCHOOL-PERFORMANCE HALL FOYER,93711
,,,E B COMSTOCK MIDDLE SCHOOL-AUDITORIUM,92982
,,,ST PAUL LUTHERAN CHURCH-FELLOWSHIP HALL,92985
,,,H BOB DANIEL SR INTERMEDIATE SCH-BAND 102,93045
,,,RICHLAND ELEMENTARY SCHOOL-GYM,93062
,,,ROSA PARKS MILLBROOK ELEM SCHOOL-LIBRARY,93169
,,,UNIVERSITY OF TEXAS - DALLAS-VISITOR CENTER-ATRIUM,93180
,,,VICTOR HEXTER ELEMENTARY SCHOOL-AUDITORIUM,93212
,,,KIEST RECREATION CENTER-SMALL ROOM,93226
,,,"BISHOP ARTS STEAM ACADEMY-COMPUTER LAB, #102",93241
,,,PRAIRIE CREEK ELEMENTARY SCHOOL-MAIN ENTRY/HALL,93270
,,,MOHAWK ELEM SCHOOL-GYM,93271
,,,MINISTERIOS CIELO EN LA TIERRA-SANCTUARY,93299
,,,BIG SPRINGS ELEMENTARY SCHOOL-GYM,93300
,,,"LIVELY ELEMENTARY SCHOOL-FRONT OFFICE, CORNER HALLWAY",93327
,,,UNIVERSITY OF NORTH TEXAS-DALLAS-FOUNDERS HALL 116,93855
,,,TOMMIE ALLEN RECREATION CENTER-MULTI-PURPOSE RM,93008
,,,DOVER ELEMENTARY SCHOOL-GYM,93055
,,,SAM HOUSTON MIDDLE SCHOOL-CLASSROOM 103,93108
,,,URBAN PARK ELEMENTARY SCHOOL-AUDITORIUM,92972
,,,BOOKER T WASHINGTON HIGH SCHOOL-MONTGOMERY ARTS THEATER FOYER,93020
,,,PORTER ELEMENTARY SCHOOL-CAFETERIA,93060
,,,SOUTH GARLAND HIGH SCHOOL-FOYER,93096
,,,THE UNION CHURCH-EDUCATIONAL WING 8 & 10,93216
,,,LIDA HOOE ELEMENTARY SCHOOL-PORTABLE 1,93236
,,,COOPER ELEMENTARY SCHOOL-FOYER,93313
,,,SALLY B ELLIOT ELEMENTARY SCHOOL-SMALL GYM,93314
,,,NIMITZ HIGH SCHOOL-AUDITORIUM FOYER,93315
,,,LISTER ELEMENTARY SCHOOL-FOYER,93316
,,,OTIS BROWN ELEMENTARY SCHOOL-SMALL GYM,93317
,,,W T HANES ELEMENTARY SCHOOL-SMALL GYM,93330
,,,LAKESIDE ELEMENTARY SCHOOL-GYM,93339
,,,HOUSTON MIDDLE SCHOOL-AUXILLARY GYM,93344
,,,"PLUMMER ELEMENTARY SCHOOL-GYM, ENTER DOOR #4",93364
,,,ALEXANDER ELEMENTARY SCHOOL-GYM,93365
,,,T W BROWNE MIDDLE SCHOOL-AUDITORIUM,93373
,,,BALCH SPRINGS CIVIC CENTER-MEETING ROOM,93384
,,,FREEMAN ELEMENTARY SCHOOL-GYM,93731
,,,JERRY R JUNKINS ELEMENTARY SCH-AUDITORIUM,93854
,,,ST. PAUL BAPTIST CHURCH-FELLOWSHIP HALL,92922
,,,PLA - HIGHLAND MEADOWS-AUDITORIUM,92938
,,,JOHN NEELY BRYAN ELEM SCHOOL-AUDITORIUM,92943
,,,PROFESSIONAL DEVELOPMENT CTR-AUDITORIUM,93058
,,,BRADFIELD REC CENTER-CLASSROOM,93064
,,,NATHAN ADAMS ELEMENTARY SCHOOL-ANNEX LOBBY,93117
,,,MIDWAY HILLS CHRISTIAN CHURCH-COMMUNITY HALL,93121
,,,BALCH SPRINGS RECREATION CENTER-MEETING ROOM,93122
,,,WALNUT HILL RECREATION CENTER-SMALL ROOM A,93133
,,,PLEASANT RUN ELEMENTARY SCHOOL-LIBRARY,93166
,,,MOCKINGBIRD COMMUNITY CHURCH-COMMUNITY ROOM,93168
,,,DEGOLYER ELEM SCHOOL-AUDITORIUM,93187
,,,SUDIE WILLIAMS ELEMENTARY SCHOOL-AUDITORIUM,93192
,,,PRESTONWOOD ELEMENTARY SCHOOL-CAFE/STAGE,93193
,,,WEST DALLAS STEM SCHOOL-MAIN LOBBY,93200
,,,VICTORY CATHEDRAL-MAIN FOYER,93203
,,,LAKE HIGHLANDS NORTH REC CTR-CRAFT ROOM,93213
,,,L L HOTCHKISS ELEMENTARY SCHOOL-AUDITORIUM FOYER,93214
,,,"TRINITY HEIGHTS TALENTED GIFTED-AUDITORIUM, ROOM 200",93215
,,,ANSON JONES ELEMENTARY SCHOOL-AUDITORIUM,93234
,,,ROSEMONT ELEM SCHOOL/UPPER CAMPUS-GYM,93245
,,,OUR REDEEMER LUTHERAN CHURCH-GP-FELLOWSHIP HALL,93418
,,,SINGING HILLS RECREATION CENTER-MULTI-PURPOSE ROOM,93004
,,,ZION LUTHERAN CHURCH-CHURCH NARTHEX,93173
,,,MCCOWAN MIDDLE SCHOOL-DANCE STUDIO,93174
,,,K B POLK CENTER-AUDITORIUM,93194
,,,SPRINGCREEK ELEMENTARY SCHOOL-GYM,93195
,,,GEORGE PEABODY ELEMENTARY SCHOOL-AUDITORIUM,93235
,,,KIDD SPRINGS RECREATION CENTER-LARGE ROOM,93246
,,,BACHMAN RECREATION CENTER-ASSEMBLY ROOM,93275
,,,SPRING CREEK ELEMENTARY SCHOOL-GYM,93306
,,,ADDISON FIRE STATION # 1-LOBBY,93383
,,,RICHLAND CAMPUS-DALLAS COLLEGE-MAIN LOBBY,92926
,,,RICHARD LAGOW ELEMENTARY SCHOOL-MAIN LOBBY,93009
,,,TOSCH ELEMENTARY SCHOOL-LIBRARY,93046
,,,A M AIKIN ELEMENTARY SCHOOL-GYM,92927
,,,NORTHWOOD HILLS ELEMENTARY SCH-GYM,92928
,,,OLIVER W HOLMES MIDDLE SCHOOL-AUDITORIUM ENTRANCE,92939
,,,DUNFORD RECREATION CENTER-GALLOWAY,93063
,,,MESQUITE HIGH SCHOOL-BACK DELIVERY HALLWAY,93076
,,,PIRRUNG ELEMENTARY SCHOOL-GYM,93080
,,,ROUTH ROACH ELEMENTARY SCHOOL-FOYER,93107
,,,COCKRELL HILL ELEMENTARY SCHOOL-GYM,93134
,,,OAKLAWN BRANCH LIBRARY-AUDITORIUM,92921
,,,AUDELIA CREEK ELEMENTARY SCHOOL-GYM,92925
,,,ST PIUS X CATHOLIC CHURCH PARISH-PARISH HALL,92951
,,,EDUARDO MATA MONTESSORI SCHOOL-LIBRARY,92966
,,,J R THOMPSON ELEMENTARY SCHOOL-GYM,93082
,,,WESTMINISTER PRESBYTERIAN CHURCH-FELLOWSHIP HALL,93158
,,,CLINTON P RUSSELL ELEMENTARY SCH-AUDITORIUM,93219
,,,WINNETKA ELEMENTARY SCHOOL-GYM,93237
,,,FARMERS BRANCH MANSKE LIBRARY-INNOVATION ROOM,93254
,,,KESSLER PARK UNITED METHODIST-FELLOWSHIP HALL,93258
,,,DANIELS ELEMENTARY ACADEMY-FRONT FOYER,93285
,,,BOWIE FINE ARTS-GYM,93291
,,,WILLIAM B TRAVIS WORLD LANG ACADEMY-SM GYM,93296
,,,IRMA RANGEL WOMENS SCHOOL-AUDITORIUM,93380
,,,FORESTER FIELD HOUSE-MAIN LOBBY,93382
,,,LANCASTER VETERANS MEMORIAL LIB-METTING ROOM,93408
,,,LOCHWOOD BRANCH LIBRARY-CLASSROOM 1&2,93409
,,,"MOUNTAIN VIEW CAMPUS-DALLAS CLG-E BLDG, EAST FOYER",93414
,,,HECTOR P GARCIA MIDDLE SCHOOL-DISD-ART ROOM A,92931
,,,W M HAWLEY ATWELL ACADEMY-AUDITORIUM FOYER,92960
,,,GEORGE TRUETT ELEMENTARY SCHOOL-AUDITORIUM,92961
,,,S S CONNER ELEM SCHOOL-AUDITORIUM,92968
,,,EDNA ROWE ELEMENTARY SCHOOL-AUDITORIUM,92971
,,,"SUZANNA DICKINSON ELEM SCHOOL-MUSIC RM, D113",93281
,,,CARE CHURCH-ATRIUM A3,93284
,,,YALE ELEMENTARY SCHOOL-GYM,93286
,,,NORTHLAKE ELEMENTARY SCHOOL-GISD-GYM,93318
,,,LAMAR MIDDLE SCHOOL-AUXILLARY GYM,93319
,,,THOMAS HALEY ELEMENTARY SCHOOL-SMALL GYM,93329
,,,JAMES MADISON HIGH SCHOOL-RM 102,93379
,,,CEDAR VALLEY CAMPUS-DALLAS CLG-RM M105,93389
,,,COPPELL TOWN CENTER-ATRIUM,93390
,,,NORTH LAKE CAMPUS-DALLAS COLLEGE-ROOM F105,93415
,,,RICHARDSON CIVIC CENTER-PARKS ROOM,93420
,,,RONALD E MCNAIR ELEMENTARY SCH-MAIN LOBBY,92996
,,,UMPHREY LEE ELEMENTARY SCHOOL-AUDITORIUM,92998
,,,RICHARDSON ISD ACADEMY-GYM,92933
,,,"FIRST BAPTIST CHURCH-SEAGOVILLE-ACTIVITY BLDG, FELLOWSHIP HALL",93177
,,,SEAGOVILLE CITY HALL-FRONT FOYER,93179
,,,DALLAS COLLEGE-BROOKHAVEN CAMPUS-H125,93387
,,,SUNNYVALE TOWN HALL-COUNCIL CHAMBERS,93428
,,,"MADDOX TEACH & LEARN-GYM, ENTER DOOR #3",93036
,,,"HIGHLANDS ELEMENTARY SCHOOL-GYM, ENTER DOOR #4",93039
,,,O HENRY ELEMENTARY SCHOOL-CAFE,93079
,,,BENJAMIN FRANKLIN MIDDLE SCHOOL-RM 107,93156
,,,ELSIE ROBERTSON MIDDLE SCHOOL-LIBRARY,93171
,,,LESLIE STEMMONS ELEMENTARY SCH-AUDITORIUM,93222
,,,NORTHRIDGE PRESBYTERIAN CHURCH-QUILLIN HALL,93223
,,,BATH HOUSE CULTURAL CENTER-LOBBY,93224
,,,PALABRA DE VIDA CHURCH-MULTI-PURPOSE BLDG,93225
,,,CHURCHILL RECREATION CTR-LARGE CLASSROOM,93227
,,,NANCY JANE COCHRAN ELEM SCH-AUDITORIUM,93228
,,,JOHN PEELER ELEMENTARY SCHOOL-LIBRARY,93238
,,,PREPARING THE WAY MINISTRIES-SITUATION RM,93239
,,,HIGHLAND PARK ISD ADMIN BLDG-BOARDROOM,93250
,,,VIVIAN FIELD MIDDLE SCHOOL-GYM,93252
,,,CHAPEL HILL PREPARATORY SCHOOL-AUDITORIUM,93255
,,,ANITA MARTINEZ RECREATION CENTER-LARGE ROOM,93261
,,,NEWMAN SMITH HIGH SCHOOL-GYM,93263
,,,CROSBY RECREATION CENTER-BROADWAY ROOM,93265
,,,NORTH DALLAS FAMILY CHURCH-CHAPEL,93266
,,,TED POLK MIDDLE SCHOOL-GYM,93267
,,,RICHARDSON N JR HIGH SCHOOL-SMALL GYM,93272
,,,PARK FOREST BRANCH LIBRARY-AUDITORIUM,93276
,,,COCKRELL HILL CITY HALL-COUNCIL CHAMBERS,93280
,,,RICHARDSON TERRACE ELEM SCH-LIBRARY,93282
,,,BETTY WARMACK LIBRARY-EMPOWER ROOM,93283
,,,ELLEN OCHOA STEM ACAD MILAM ELEM-PROJECT ROOM,93287
,,,"DARTMOUTH ELEMENTARY SCHOOL-ART RM, 124/126",93288
,,,JESS HARBEN ELEMENTARY SCHOOL-GYM,93292
,,,VALLEY RANCH ELEM SCHOOL-GYM,93294
,,,J O DAVIS ELEMENTARY SCHOOL-CLASSROOM 108 & 109,93321
,,,IRVING HIGH SCHOOL-AUDITORIUM FOYER,93325
,,,OAK HAVEN UNITED METHODIST CH-FELLOWSHIP HALL,93328
,,,T J LEE ELEM SCHOOL-SMALL GYM,93338
,,,TRAVIS MIDDLE SCHOOL-CAFETERIA,93340
,,,MEMORIAL PATHWAY ACADEMY-GYM,93092
,,,C F CARR ELEM SCHOOL-AUDITORIUM LOBBY,93204
,,,RIDGEWOOD RECREATION CENTER-CRAFT ROOM,93218
,,,MCCOY ELEMENTARY SCHOOL-GYM,93257
,,,CANYON CREEK ELEMENTARY SCHOOL-GYM,93269
,,,GRAND PRAIRIE COLLEGIATE INSTITUTE-STAFF DEVELOPMENT SIDE,93295
,,,L B BARTON ELEMENTARY SCHOOL-SMALL GYM,93322
,,,A S JOHNSTON ELEMENTARY SCHOOL-SMALL GYM,93331
,,,BRANDENBURG ELEMENTARY SCHOOL-SMALL GYM,93332
,,,"DALLAS COLLEGE-EASTFIELD CAMPUS-C BUILDING, LOBBY",93395
,,,DALLAS COLLEGE-EL CENTRO CAMPUS-ELB-STUDENT CENTER MAIN AREA,93396
,,,MARSH LANE BAPTIST CHURCH-DOWNSTAIRS FELLOWSHIP HALL,93410
,,,SMU/HUGHES - TRIGGS STUDENT CTR-RM 105,93426
,,,SOUTH GARLAND BRANCH LIBRARY-PROGRAM ROOM,93427
,,,LINCOLN HS HUMANITIES COMM MAG-AUDITORIUM,92923
,,,W W BUSHMAN ELEMENTARY SCHOOL-FOYER,92944
,,,GRACE UNITED METHODIST CHURCH-PARLOR,92962
,,,ED VANSTON MIDDLE SCHOOL-NEW GYM,93031
,,,W L WILKINSON MIDDLE SCHOOL-300 FRONT FOYER,93074
,,,"A R DAVIS ELEMENTARY SCHOOL-TEACHER LOUNGE, RM #201",93077
,,,A C NEW MIDDLE SCHOOL-FRONT ENTRY HALLWAY,93084
,,,BILHARTZ ELEMENTARY SCHOOL-GYM,93221
,,,WILSON ELEMENTARY SCHOOL-GYM,93335
,,,COTTONWOOD CREEK ELEM SCHOOL-GYM,93341
,,,JACK E SINGLEY ACADEMY-AUDITORIUM,93342
,,,ADDISON FIRE STATION # 2-BAY,93346
,,,COYLE MIDDLE SCHOOL-LIBRARY,93354
,,,ROWLETT ELEMENTARY SCHOOL-GYM,93355
,,,HERFURTH ELEMENTARY SCHOOL-GYM,93356
,,,"BRAY ELEMENTARY SCHOOL-GYM, ENTER DOOR #18",93357
,,,SCHRADE MIDDLE SCHOOL-COMPETITION GYM,93358
,,,GOOD ELEMENTARY SCHOOL-LIBRARY,93359
