06/01/2022,Office of the Secretary of State,,,Generated By: 
,,,ST JOHN'S EPISCOPAL CHURCH-ST JOHN'S EPISCOPAL CHURCH,93583
,,,BEN HUR SHRINE CENTER-BEN HUR SHRINE CENTER,93600
,,,NORTHWEST RECREATION CENTER-NORTHWEST RECREATION CENTER,93611
,,,AKINS HIGH SCHOOL-AKINS HIGH SCHOOL,93150
,,,PEACE LUTHERAN-PEACE LUTHERAN,93492
,,,SAM HOUSTON BUILDING-SAM HOUSTON BUILDING,93502
,,,ANDERSON HIGH SCHOOL-ANDERSON HIGH SCHOOL,93579
,,,OAK HILL UNITED METHODIST-OAK HILL UNITED METHODIST,93479
,,,BERKELEY UNITED METHODIST-BERKELEY UNITED METHODIST,93482
,,,MILWOOD BRANCH LIBRARY-MILWOOD BRANCH LIBRARY,93582
,,,WELLS BRANCH MUD RECREATION CENTER-WELLS BRANCH MUD RECREATION CENTER,93624
,,,JUAN P NAVARRO HIGH SCHOOL (LANIER)-JUAN P NAVARRO HIGH SCHOOL (LANIER),93635
,,,BOULDER RIDGE CLUBHOUSE-BOULDER RIDGE CLUBHOUSE,93647
,,,BLUEBONNET TRAIL ELEMENTARY-BLUEBONNET TRAIL ELEMENTARY,93078
,,,COMMUNITY CENTER AT DEL VALLE-COMMUNITY CENTER AT DEL VALLE,93157
,,,NEW SWEDEN LUTHERAN-NEW SWEDEN LUTHERAN,92995
,,,VOLENTE FIRE DEPARTMENT-VOLENTE FIRE DEPARTMENT,93450
,,,CIRCLE C COMMUNITY CENTER-CIRCLE C COMMUNITY CENTER,93462
,,,SHEPHERD OF THE HILLS PRESBYTERIAN-SHEPHERD OF THE HILLS PRESBYTERIAN,93468
,,,OAK HILL FIRE DEPT #301-OAK HILL FIRE DEPT #301,93471
,,,LAKE TRAVIS ISD EDUCATION DEVELOPMENT CENTER-LAKE TRAVIS ISD EDUCATION DEVELOPMENT CENTER,93473
,,,TERRAZAS BRANCH LIBRARY-TERRAZAS BRANCH LIBRARY,93744
,,,SUNSET VALLEY CITY HALL-SUNSET VALLEY CITY HALL,93553
,,,BRENTWOOD BIBLE CHURCH-BRENTWOOD BIBLE CHURCH,93602
,,,REGION 13 EDUCATION SERVICE CENTER-REGION 13 EDUCATION SERVICE CENTER,93010
,,,PIONEER CROSSING ELEMENTARY-PIONEER CROSSING ELEMENTARY,93073
,,,DEL VALLE ISD ADMIN BUILDING-DEL VALLE ISD ADMIN BUILDING,93176
,,,CHRIST EPISCOPAL CHURCH-CHRIST EPISCOPAL CHURCH,93460
,,,TRAVIS COUNTY PARKS OFFICE-TRAVIS COUNTY PARKS OFFICE,93516
,,,SHEPHERD OF THE HILLS CHRISTIAN-SHEPHERD OF THE HILLS CHRISTIAN,95836
,,,AUSTIN ACHIEVE - NORTHEAST CAMPUS-GYM,95818
,,,CHURCH AT HIGHLAND PARK-CHURCH AT HIGHLAND PARK,95012
,,,ST LUKE'S ON THE LAKE EPISCOPAL CHURCH-FOYER,95840
,,,SKY CANDY-SKY CANDY,95851
,,,PFLUGERVILLE PUBLIC LIBRARY-PFLUGERVILLE PUBLIC LIBRARY,95876
,,,ST EDWARD'S UNIVERSITY-UFCU ALUMNI GYM,95858
,,,SPICEWOOD SPRINGS BRANCH LIBRARY-SPICEWOOD SPRINGS BRANCH LIBRARY,96424
,,,SHOPS AT ARBOR WALK-ARBOR WALK,95835
,,,DOUGHERTY ARTS CENTER-DOUGHERTY ARTS CENTER,95853
,,,IMPACT FAMILY CHURCH-IMPACT FAMILY CHURCH,95857
,,,WELLS BRANCH COMMUNITY LIBRARY-WELLS BRANCH COMMUNITY LIBRARY,95878
,,,BIG BROTHERS BIG SISTERS OF CENTRAL TEXAS-BIG BROTHERS BIG SISTERS,95823
,,,GREATER MT ZION BAPTIST CHURCH-CHURCH,95825
,,,YARBOROUGH BRANCH LIBRARY-YARBOROUGH BRANCH LIBRARY,95879
,,,WHISPER VALLEY DISCOVERY AND AMENITY CENTER-CENTER,95824
,,,"SOUTHPARK MEADOWS, STE 500-SUITE 500",95846
,,,FAITH PRESBYTERIAN CHURCH-CHURCH,95847
,,,EANES ISD ADMIN BUILDING-EANES ISD ADMIN BUILDING,96421
,,,CE-BAR FIRE DEPT.-CE-BAR FIRE DEPT.,95871
,,,GRANDVIEW HILLS ELEMENTARY-GRANDVIEW HILLS ELEMENTARY,95018
,,,SOUTH AUSTIN SENIOR ACTIVITY CENTER-CENTER,95866
,,,ALL NATIONS CHURCH-CHURCH,95869
,,,ROUND MOUNTAIN BAPTIST CHURCH-ROUND MOUNTAIN BAPTIST CHURCH,95865
,,,ST JOHN'S UNITED METHODIST CHURCH-CHURCH,95838
,,,UNITY CHURCH OF THE HILLS-UNITY CHURCH OF THE HILLS,95852
,,,GEORGE MORALES DOVE SPRINGS RECREATION CENTER-GYM,95860
,,,DAVIS ELEMENTARY-DAVIS ELEMENTARY,95014
,,,"BAKER CENTER, ALAMO DRAFTHOUSE-CENTER",95842
,,,ELGIN HIGH SCHOOL-ELGIN HIGH SCHOOL,95016
,,,CHINATOWN CENTER-CENTER,95831
,,,HIGHLAND VILLAGE CHURCH OF CHRIST-CHURCH,95839
,,,CREEDMOOR COMMUNITY CENTER-CENTER,95843
,,,MONTOPOLIS RECREATION CENTER-GYM,95848
,,,MANCHACA ROAD BRANCH PUBLIC LIBRARY-MEETING ROOM,95864
,,,BIBLE BAPTIST CHURCH OF PFLUGERVILLE-CHURCH,95822
,,,ASIAN AMERICAN RESOURCE CENTER-ASIAN AMERICAN RESOURCE CENTER,95005
,,,AUSTIN OAKS CHURCH-AUSTIN OAKS CHURCH,95006
,,,WINTERS BUILDING-WINTERS BUILDING,95040
,,,CONLEY-GUERRERO SENIOR ACTIVITY CENTER-CONLEY-GUERRERO SENIOR ACTIVITY CENTER,97024
,,,NORTHLAKE CHURCH-NORTHLAKE CHURCH,96676
,,,BLAZIER INTERMEDIATE-BLAZIER INTERMEDIATE,97062
,,,KATHY CARAWAY ELEMENTARY-KATHY CARAWAY ELEMENTARY,96679
,,,CROSSLIFE CHRISTIAN ACADEMY-CROSSLIFE CHRISTIAN ACADEMY,96671
,,,ADDISON AMENITY CENTER-ADDISON AMENITY CENTER,97061
,,,CENTRAL CITY AUSTIN-CENTRAL CITY AUSTIN,97063
,,,ELEVATE EVENT CENTER-ELEVATE EVENT CENTER,97025
,,,RIVERBEND CENTRE-RIVERBEND CENTRE,96677
,,,LAKEWAY HERITAGE CENTER-LAKEWAY HERITAGE CENTER,97067
,,,GENESIS PRESBYTERIAN-GENESIS PRESBYTERIAN,97064
,,,TRAVIS COUNTY ADMIN BUILDING-TRAVIS COUNTY ADMIN BUILDING,97069
,,,WESTOAK WOODS BAPTIST-WESTOAK WOODS BAPTIST,97027
,,,LIBERAL ARTS SCIENCE ACADEMY-LIBERAL ARTS SCIENCE ACADEMY,97068
,,,LAKE TRAVIS ISD TRANSPORTATION CENTER-LAKE TRAVIS ISD TRANSPORTATION CENTER,97066
,,,HILLCREST ELEMENTARY SCHOOL-HILLCREST ELEMENTARY SCHOOL,97065
,,,THE VORTEX-THE VORTEX,96672
