06/30/2022,Office of the Secretary of State,,,Generated By: 
,,,REDEEMER EVANGELICAL COVENANT CHRUCH-FELLOWSHIP HALL,94570
,,,PEARSON MIDDLE SCHOOL-AUXILIARY GYMNASIUM,94588
,,,FRANKFORD TOWNHOMES-COMMUNITY ROOM,94506
,,,SAINT DAVID'S EPISCOPAL CHRUCH-PARISH HALL,94578
,,,AUBREY AREA LIBRARY-COMMUNITY ROOM,94430
,,,PRESTONWOOD BAPTIST CHURCH-ATRIUM,94438
,,,C.H. COLLINS STADIUM-BANQUET ROOM,94432
,,,FRISCO FIRE STATION #6-TRAINING ROOM,94433
,,,LANTANA COMMUNITY CHURCH-SANCTUARY,94436
,,,ROANOKE PUBLIC LIBRARY-MEETING ROOMS A & B,94439
,,,HEARTLAND CHURCH-STUDENT LOBBY/AUDITORIUM,94434
,,,PALOMA CREEK HOA CLUBHOUSE-CLUBHOUSE,94437
,,,CARRIAGE HOUSE ASSISTED LIVING-LIBRARY,94500
,,,COBB MIDDLE SCHOOL-AUXILIARY GYMNASIUM,94501
,,,DENTON ISD SISK SERVICE CENTER ANNEX-ASSEMBLY ROOM,94502
,,,HARMON HIGH SCHOOL-BAND HALL- OUTDOOR ENTRANCE,94574
,,,FURNEAUX ELEMENTARY SCHOOL-GYMNASIUM,94509
,,,SANGER COMMUNITY CENTER-MEETING ROOM,94517
,,,GRIFFIN MIDDLE SCHOOL - FISD-ROOM 201,94510
,,,HEBRON HIGH SCHOOL-ANNEX,94511
,,,KILLOUGH HIGH SCHOOL-SMALL GYMNASIUM,94512
,,,LITTLE ELM COMMUNITY CENTER-COMMUNITY ROOM,94513
,,,MACEDONIA MINISTRIES-FELLOWSHIP HALL,94514
,,,OLD SETTLERS ELEMENTARY SCHOOL-GYMNASIUM,94515
,,,CHAVEZ ELEMENTARY SCHOOL-GYMNASIUM,94571
,,,WESTSIDE BAPTIST CHURCH-ASSEMBLY HALL,94579
,,,PILOT POINT LIBRARY-MEETING ROOM,94516
,,,HERITAGE ELEMENTARY SCHOOL-GYMNASIUM,94575
,,,TROPHY CLUB FIRE STATION-TRAINING ROOM,94518
,,,ROANOKE COMMUNITY & SENIOR CENTER-COMMUNITY CENTER,94542
,,,FAITH UNITED METHODIST CHURCH-SANCTUARY / WORSHIP CENTER,94572
,,,FLOWER MOUND TOWN HALL-JODY SMITH HALL,94573
,,,NAVO MIDDLE SCHOOL-SMALL GYMNASIUM,94576
,,,SHADY SHORES COMMUNITY CENTER-COUNCIL CHAMBERS,94577
